station,valid,tmpc,dwpc,relh,sped
OKC,2020-12-29 00:00,M,M,M,12.65
OJC,2020-12-29 00:00,M,M,M,12.65
OKC,2020-12-29 00:52,4.39,0.00,73.14,10.35
OMA,2020-12-29 00:52,-4.39,-8.28,74.27,6.90
OJC,2020-12-29 00:53,-1.11,-5.61,71.48,11.50
ATY,2020-12-29 00:53,-12.78,-13.89,91.37,5.75
OKC,2020-12-29 01:52,5.00,0.61,73.25,10.35
OMA,2020-12-29 01:52,-4.39,-8.28,74.27,9.20
OJC,2020-12-29 01:53,-1.11,-6.11,68.81,12.65
ATY,2020-12-29 01:53,-11.72,-13.28,88.21,8.05
OKC,2020-12-29 02:52,5.61,2.22,78.80,11.50
OMA,2020-12-29 02:52,-4.39,-8.89,70.81,6.90
OJC,2020-12-29 02:53,-1.11,-6.11,68.81,10.35
ATY,2020-12-29 02:53,-10.61,-11.72,91.52,10.35
OKC,2020-12-29 03:19,5.61,3.28,84.93,13.80
OKC,2020-12-29 03:52,5.61,3.28,84.93,13.80
OMA,2020-12-29 03:52,-3.89,-8.89,68.20,10.35
OJC,2020-12-29 03:53,-1.11,-6.11,68.81,10.35
ATY,2020-12-29 03:53,-10.00,-11.72,87.20,12.65
OKC,2020-12-29 04:52,6.11,3.28,82.04,14.95
OMA,2020-12-29 04:52,-3.89,-8.89,68.20,14.95
OJC,2020-12-29 04:53,-1.11,-5.61,71.48,13.80
ATY,2020-12-29 04:53,-8.89,-10.00,91.64,13.80
OMA,2020-12-29 04:58,-3.89,-8.28,71.53,13.80
OMA,2020-12-29 05:04,-4.39,-7.78,77.21,13.80
OMA,2020-12-29 05:07,-4.39,-7.78,77.21,14.95
OMA,2020-12-29 05:23,-5.00,-6.72,87.70,12.65
OMA,2020-12-29 05:48,-5.00,-7.00,85.85,9.20
OKC,2020-12-29 05:52,6.72,3.89,82.12,14.95
OMA,2020-12-29 05:52,-5.00,-6.72,87.70,11.50
OJC,2020-12-29 05:53,-1.11,-5.00,74.87,10.35
ATY,2020-12-29 05:53,-8.89,-10.00,91.64,12.65
OMA,2020-12-29 06:26,-5.00,-6.72,87.70,11.50
OMA,2020-12-29 06:32,-5.00,-6.72,87.70,12.65
OMA,2020-12-29 06:35,-5.00,-6.72,87.70,11.50
OKC,2020-12-29 06:52,7.78,5.00,82.58,14.95
OMA,2020-12-29 06:52,-5.00,-6.72,87.70,12.65
OJC,2020-12-29 06:53,-1.11,-4.39,78.40,13.80
ATY,2020-12-29 06:53,-8.89,-10.00,91.64,12.65
OMA,2020-12-29 07:32,-5.00,-6.72,87.70,13.80
OKC,2020-12-29 07:52,8.28,6.11,86.21,19.55
OMA,2020-12-29 07:52,-5.00,-6.72,87.70,12.65
OJC,2020-12-29 07:53,-2.22,-2.78,95.97,13.80
ATY,2020-12-29 07:53,-8.28,-9.39,91.68,10.35
OJC,2020-12-29 08:02,-1.72,-2.78,92.49,13.80
OMA,2020-12-29 08:17,-5.00,-6.72,87.70,13.80
OJC,2020-12-29 08:18,-1.72,-2.22,96.38,11.50
ATY,2020-12-29 08:25,-7.78,-9.39,88.20,11.50
ATY,2020-12-29 08:33,-7.78,-8.89,91.72,9.20
OJC,2020-12-29 08:38,-1.11,-1.72,95.61,12.65
ATY,2020-12-29 08:39,-7.22,-8.89,87.87,9.20
OJC,2020-12-29 08:49,-1.00,-2.00,92.92,14.95
OKC,2020-12-29 08:52,8.89,7.22,89.29,17.25
OMA,2020-12-29 08:52,-4.39,-6.11,87.76,12.65
OJC,2020-12-29 08:53,-1.11,-1.11,100.00,17.25
ATY,2020-12-29 08:53,-7.22,-8.89,87.87,10.35
OKC,2020-12-29 08:59,8.89,7.22,89.29,20.70
ATY,2020-12-29 09:01,-7.22,-8.89,87.87,11.50
ATY,2020-12-29 09:07,-7.22,-8.89,87.87,12.65
ATY,2020-12-29 09:15,-7.22,-8.89,87.87,13.80
OMA,2020-12-29 09:44,-4.39,-6.11,87.76,16.10
OJC,2020-12-29 09:44,-0.61,-0.61,100.00,12.65
OKC,2020-12-29 09:50,M,M,M,21.85
OMA,2020-12-29 09:50,M,M,M,12.65
ATY,2020-12-29 09:50,M,M,M,12.65
OJC,2020-12-29 09:51,-1.00,-1.00,100.00,11.50
OKC,2020-12-29 09:52,9.39,8.28,92.77,20.70
OMA,2020-12-29 09:52,-4.39,-6.11,87.76,13.80
OJC,2020-12-29 09:53,-0.61,-0.61,100.00,12.65
ATY,2020-12-29 09:53,-7.22,-8.28,92.15,13.80
OKC,2020-12-29 09:55,M,M,M,19.55
OMA,2020-12-29 09:55,M,M,M,12.65
OJC,2020-12-29 09:55,M,M,M,12.65
ATY,2020-12-29 09:55,M,M,M,12.65
OKC,2020-12-29 10:00,M,M,M,20.70
OMA,2020-12-29 10:00,M,M,M,14.95
OJC,2020-12-29 10:00,M,M,M,12.65
ATY,2020-12-29 10:00,M,M,M,11.50
OMA,2020-12-29 10:01,-4.39,-6.11,87.76,14.95
OKC,2020-12-29 10:05,M,M,M,20.70
OMA,2020-12-29 10:05,M,M,M,12.65
OJC,2020-12-29 10:05,M,M,M,14.95
ATY,2020-12-29 10:05,M,M,M,11.50
OJC,2020-12-29 10:06,-0.61,-0.61,100.00,14.95
OKC,2020-12-29 10:10,M,M,M,20.70
OMA,2020-12-29 10:10,M,M,M,12.65
OJC,2020-12-29 10:10,M,M,M,12.65
ATY,2020-12-29 10:10,M,M,M,11.50
OJC,2020-12-29 10:15,-0.61,-0.61,100.00,14.95
OKC,2020-12-29 10:15,M,M,M,19.55
OMA,2020-12-29 10:15,M,M,M,17.25
ATY,2020-12-29 10:15,M,M,M,12.65
OMA,2020-12-29 10:16,-4.39,-6.11,87.76,18.40
OKC,2020-12-29 10:20,M,M,M,21.85
OMA,2020-12-29 10:20,M,M,M,16.10
OJC,2020-12-29 10:20,M,M,M,14.95
ATY,2020-12-29 10:20,M,M,M,11.50
ATY,2020-12-29 10:21,-6.72,-7.78,92.19,11.50
OKC,2020-12-29 10:25,M,M,M,20.70
OMA,2020-12-29 10:25,M,M,M,11.50
ATY,2020-12-29 10:25,M,M,M,11.50
OKC,2020-12-29 10:30,M,M,M,20.70
OMA,2020-12-29 10:30,M,M,M,11.50
OJC,2020-12-29 10:30,M,M,M,18.40
ATY,2020-12-29 10:30,M,M,M,12.65
ATY,2020-12-29 10:32,-6.72,-8.28,88.68,11.50
OKC,2020-12-29 10:35,M,M,M,18.40
OMA,2020-12-29 10:35,M,M,M,11.50
OJC,2020-12-29 10:35,M,M,M,14.95
ATY,2020-12-29 10:35,M,M,M,10.35
OKC,2020-12-29 10:40,M,M,M,16.10
OMA,2020-12-29 10:40,M,M,M,12.65
OJC,2020-12-29 10:40,M,M,M,12.65
ATY,2020-12-29 10:40,M,M,M,10.35
OKC,2020-12-29 10:45,M,M,M,19.55
OMA,2020-12-29 10:45,M,M,M,14.95
OJC,2020-12-29 10:45,M,M,M,12.65
ATY,2020-12-29 10:45,M,M,M,12.65
OKC,2020-12-29 10:50,M,M,M,17.25
OMA,2020-12-29 10:50,M,M,M,14.95
OJC,2020-12-29 10:50,M,M,M,14.95
ATY,2020-12-29 10:50,M,M,M,12.65
OKC,2020-12-29 10:52,9.39,8.89,96.69,17.25
OMA,2020-12-29 10:52,-4.39,-5.61,91.17,12.65
OJC,2020-12-29 10:53,-0.61,-0.61,100.00,14.95
ATY,2020-12-29 10:53,-6.72,-7.78,92.19,13.80
OKC,2020-12-29 10:55,M,M,M,17.25
OMA,2020-12-29 10:55,M,M,M,14.95
ATY,2020-12-29 10:55,M,M,M,12.65
OKC,2020-12-29 11:00,M,M,M,18.40
OMA,2020-12-29 11:00,M,M,M,12.65
OJC,2020-12-29 11:00,M,M,M,14.95
ATY,2020-12-29 11:00,M,M,M,12.65
OKC,2020-12-29 11:02,10.00,8.89,92.80,17.25
OKC,2020-12-29 11:05,M,M,M,20.70
OJC,2020-12-29 11:05,M,M,M,12.65
OKC,2020-12-29 11:10,M,M,M,20.70
OMA,2020-12-29 11:10,M,M,M,14.95
OJC,2020-12-29 11:10,M,M,M,16.10
ATY,2020-12-29 11:10,M,M,M,14.95
OKC,2020-12-29 11:12,10.00,9.39,95.98,24.15
OKC,2020-12-29 11:15,M,M,M,21.85
