station,valid,tmpc,dwpc,relh,sped
RIC,2020-05-10 00:00,M,M,M,4.60
PHL,2020-05-10 00:00,M,M,M,18.40
CMH,2020-05-10 00:00,M,M,M,4.60
RIC,2020-05-10 00:05,M,M,M,5.75
PHL,2020-05-10 00:05,M,M,M,16.10
CMH,2020-05-10 00:05,M,M,M,5.75
RIC,2020-05-10 00:10,M,M,M,5.75
PHL,2020-05-10 00:10,M,M,M,16.10
CMH,2020-05-10 00:10,M,M,M,5.75
RIC,2020-05-10 00:15,M,M,M,2.30
PHL,2020-05-10 00:15,M,M,M,18.40
CMH,2020-05-10 00:15,M,M,M,2.30
RIC,2020-05-10 00:20,M,M,M,4.60
PHL,2020-05-10 00:20,M,M,M,14.95
CMH,2020-05-10 00:20,M,M,M,2.30
RIC,2020-05-10 00:25,M,M,M,2.30
PHL,2020-05-10 00:25,M,M,M,14.95
CMH,2020-05-10 00:25,M,M,M,4.60
RIC,2020-05-10 00:30,M,M,M,0.00
PHL,2020-05-10 00:30,M,M,M,12.65
CMH,2020-05-10 00:30,M,M,M,4.60
RIC,2020-05-10 00:35,M,M,M,4.60
PHL,2020-05-10 00:35,M,M,M,14.95
CMH,2020-05-10 00:35,M,M,M,4.60
RIC,2020-05-10 00:40,M,M,M,0.00
PHL,2020-05-10 00:40,M,M,M,14.95
CMH,2020-05-10 00:40,M,M,M,4.60
RIC,2020-05-10 00:45,M,M,M,0.00
PHL,2020-05-10 00:45,M,M,M,12.65
CMH,2020-05-10 00:45,M,M,M,4.60
RIC,2020-05-10 00:50,M,M,M,4.60
PHL,2020-05-10 00:50,M,M,M,12.65
CMH,2020-05-10 00:50,M,M,M,4.60
CMH,2020-05-10 00:51,5.00,-4.39,50.67,4.60
RIC,2020-05-10 00:54,2.78,-1.11,75.56,0.00
PHL,2020-05-10 00:54,4.39,-6.72,44.29,13.80
RIC,2020-05-10 00:55,M,M,M,0.00
PHL,2020-05-10 00:55,M,M,M,12.65
CMH,2020-05-10 00:55,M,M,M,5.75
RIC,2020-05-10 01:00,M,M,M,0.00
PHL,2020-05-10 01:00,M,M,M,12.65
CMH,2020-05-10 01:00,M,M,M,4.60
RIC,2020-05-10 01:05,M,M,M,0.00
PHL,2020-05-10 01:05,M,M,M,12.65
CMH,2020-05-10 01:05,M,M,M,4.60
RIC,2020-05-10 01:10,M,M,M,0.00
PHL,2020-05-10 01:10,M,M,M,14.95
CMH,2020-05-10 01:10,M,M,M,4.60
RIC,2020-05-10 01:15,M,M,M,2.30
PHL,2020-05-10 01:15,M,M,M,14.95
CMH,2020-05-10 01:15,M,M,M,4.60
RIC,2020-05-10 01:20,M,M,M,2.30
PHL,2020-05-10 01:20,M,M,M,12.65
CMH,2020-05-10 01:20,M,M,M,4.60
RIC,2020-05-10 01:25,M,M,M,0.00
PHL,2020-05-10 01:25,M,M,M,12.65
CMH,2020-05-10 01:25,M,M,M,4.60
RIC,2020-05-10 01:30,M,M,M,0.00
PHL,2020-05-10 01:30,M,M,M,12.65
CMH,2020-05-10 01:30,M,M,M,4.60
RIC,2020-05-10 01:35,M,M,M,2.30
PHL,2020-05-10 01:35,M,M,M,12.65
CMH,2020-05-10 01:35,M,M,M,5.75
RIC,2020-05-10 01:40,M,M,M,4.60
PHL,2020-05-10 01:40,M,M,M,12.65
CMH,2020-05-10 01:40,M,M,M,4.60
RIC,2020-05-10 01:45,M,M,M,2.30
PHL,2020-05-10 01:45,M,M,M,12.65
CMH,2020-05-10 01:45,M,M,M,4.60
RIC,2020-05-10 01:50,M,M,M,0.00
PHL,2020-05-10 01:50,M,M,M,16.10
CMH,2020-05-10 01:50,M,M,M,4.60
CMH,2020-05-10 01:51,3.28,-3.28,62.14,4.60
RIC,2020-05-10 01:54,1.72,-1.11,81.46,0.00
PHL,2020-05-10 01:54,4.39,-6.72,44.29,14.95
RIC,2020-05-10 01:55,M,M,M,0.00
PHL,2020-05-10 01:55,M,M,M,14.95
CMH,2020-05-10 01:55,M,M,M,5.75
RIC,2020-05-10 02:00,M,M,M,0.00
PHL,2020-05-10 02:00,M,M,M,12.65
CMH,2020-05-10 02:00,M,M,M,4.60
RIC,2020-05-10 02:05,M,M,M,2.30
PHL,2020-05-10 02:05,M,M,M,14.95
CMH,2020-05-10 02:05,M,M,M,4.60
RIC,2020-05-10 02:10,M,M,M,0.00
PHL,2020-05-10 02:10,M,M,M,14.95
CMH,2020-05-10 02:10,M,M,M,4.60
RIC,2020-05-10 02:15,M,M,M,0.00
PHL,2020-05-10 02:15,M,M,M,16.10
CMH,2020-05-10 02:15,M,M,M,2.30
RIC,2020-05-10 02:20,M,M,M,0.00
PHL,2020-05-10 02:20,M,M,M,12.65
CMH,2020-05-10 02:20,M,M,M,2.30
RIC,2020-05-10 02:25,M,M,M,0.00
PHL,2020-05-10 02:25,M,M,M,12.65
CMH,2020-05-10 02:25,M,M,M,5.75
RIC,2020-05-10 02:30,M,M,M,0.00
PHL,2020-05-10 02:30,M,M,M,9.20
CMH,2020-05-10 02:30,M,M,M,4.60
RIC,2020-05-10 02:35,M,M,M,0.00
