station,valid,tmpc,dwpc,relh,sped
RIC,2020-06-11 00:00,M,M,M,16.10
MDW,2020-06-11 00:00,M,M,M,11.50
PHL,2020-06-11 00:00,M,M,M,17.25
CMH,2020-06-11 00:00,M,M,M,10.35
RIC,2020-06-11 00:05,M,M,M,17.25
MDW,2020-06-11 00:05,M,M,M,11.50
PHL,2020-06-11 00:05,M,M,M,16.10
CMH,2020-06-11 00:05,M,M,M,10.35
RIC,2020-06-11 00:10,M,M,M,16.10
MDW,2020-06-11 00:10,M,M,M,12.65
PHL,2020-06-11 00:10,M,M,M,16.10
CMH,2020-06-11 00:10,M,M,M,12.65
RIC,2020-06-11 00:15,M,M,M,16.10
MDW,2020-06-11 00:15,M,M,M,12.65
PHL,2020-06-11 00:15,M,M,M,18.40
CMH,2020-06-11 00:15,M,M,M,12.65
RIC,2020-06-11 00:20,M,M,M,18.40
MDW,2020-06-11 00:20,M,M,M,11.50
PHL,2020-06-11 00:20,M,M,M,16.10
CMH,2020-06-11 00:20,M,M,M,18.40
RIC,2020-06-11 00:25,M,M,M,18.40
MDW,2020-06-11 00:25,M,M,M,12.65
PHL,2020-06-11 00:25,M,M,M,14.95
CMH,2020-06-11 00:25,M,M,M,12.65
RIC,2020-06-11 00:30,M,M,M,18.40
MDW,2020-06-11 00:30,M,M,M,14.95
PHL,2020-06-11 00:30,M,M,M,14.95
CMH,2020-06-11 00:30,M,M,M,16.10
RIC,2020-06-11 00:35,M,M,M,17.25
MDW,2020-06-11 00:35,M,M,M,11.50
PHL,2020-06-11 00:35,M,M,M,12.65
CMH,2020-06-11 00:35,M,M,M,17.25
RIC,2020-06-11 00:40,M,M,M,18.40
MDW,2020-06-11 00:40,M,M,M,12.65
PHL,2020-06-11 00:40,M,M,M,12.65
CMH,2020-06-11 00:40,M,M,M,14.95
RIC,2020-06-11 00:45,M,M,M,17.25
MDW,2020-06-11 00:45,M,M,M,11.50
PHL,2020-06-11 00:45,M,M,M,14.95
CMH,2020-06-11 00:45,M,M,M,17.25
RIC,2020-06-11 00:50,M,M,M,17.25
MDW,2020-06-11 00:50,M,M,M,12.65
PHL,2020-06-11 00:50,M,M,M,16.10
CMH,2020-06-11 00:50,M,M,M,12.65
CMH,2020-06-11 00:51,21.72,13.28,58.65,11.50
MDW,2020-06-11 00:53,17.22,13.28,77.61,9.20
RIC,2020-06-11 00:54,25.00,21.11,79.02,16.10
PHL,2020-06-11 00:54,25.61,21.11,76.19,16.10
RIC,2020-06-11 00:55,M,M,M,19.55
MDW,2020-06-11 00:55,M,M,M,11.50
PHL,2020-06-11 00:55,M,M,M,14.95
CMH,2020-06-11 00:55,M,M,M,14.95
RIC,2020-06-11 01:00,M,M,M,17.25
