station,valid,tmpc,dwpc,relh,sped
BUR,2020-05-09 00:00,M,M,M,5.75
FAT,2020-05-09 00:00,M,M,M,5.75
SFO,2020-05-09 00:00,M,M,M,12.65
BUR,2020-05-09 00:05,M,M,M,5.75
FAT,2020-05-09 00:05,M,M,M,4.60
SFO,2020-05-09 00:05,M,M,M,14.95
BUR,2020-05-09 00:10,M,M,M,5.75
FAT,2020-05-09 00:10,M,M,M,4.60
SFO,2020-05-09 00:10,M,M,M,12.65
BUR,2020-05-09 00:15,M,M,M,5.75
FAT,2020-05-09 00:15,M,M,M,5.75
SFO,2020-05-09 00:15,M,M,M,14.95
BUR,2020-05-09 00:20,M,M,M,5.75
FAT,2020-05-09 00:20,M,M,M,5.75
SFO,2020-05-09 00:20,M,M,M,11.50
BUR,2020-05-09 00:25,M,M,M,5.75
FAT,2020-05-09 00:25,M,M,M,4.60
SFO,2020-05-09 00:25,M,M,M,12.65
BUR,2020-05-09 00:30,M,M,M,5.75
FAT,2020-05-09 00:30,M,M,M,5.75
SFO,2020-05-09 00:30,M,M,M,11.50
BUR,2020-05-09 00:35,M,M,M,5.75
FAT,2020-05-09 00:35,M,M,M,4.60
SFO,2020-05-09 00:35,M,M,M,11.50
BUR,2020-05-09 00:40,M,M,M,5.75
FAT,2020-05-09 00:40,M,M,M,2.30
SFO,2020-05-09 00:40,M,M,M,9.20
BUR,2020-05-09 00:45,M,M,M,5.75
FAT,2020-05-09 00:45,M,M,M,2.30
SFO,2020-05-09 00:45,M,M,M,10.35
BUR,2020-05-09 00:50,M,M,M,5.75
FAT,2020-05-09 00:50,M,M,M,2.30
SFO,2020-05-09 00:50,M,M,M,10.35
BUR,2020-05-09 00:53,18.89,15.00,78.14,5.75
FAT,2020-05-09 00:53,23.28,11.72,48.18,3.45
BUR,2020-05-09 00:55,M,M,M,4.60
FAT,2020-05-09 00:55,M,M,M,4.60
SFO,2020-05-09 00:55,M,M,M,8.05
SFO,2020-05-09 00:56,10.61,9.39,92.14,9.20
BUR,2020-05-09 01:00,M,M,M,4.60
FAT,2020-05-09 01:00,M,M,M,4.60
SFO,2020-05-09 01:00,M,M,M,8.05
BUR,2020-05-09 01:05,M,M,M,4.60
FAT,2020-05-09 01:05,M,M,M,4.60
SFO,2020-05-09 01:05,M,M,M,9.20
BUR,2020-05-09 01:10,M,M,M,2.30
FAT,2020-05-09 01:10,M,M,M,4.60
SFO,2020-05-09 01:10,M,M,M,9.20
BUR,2020-05-09 01:15,M,M,M,4.60
FAT,2020-05-09 01:15,M,M,M,5.75
SFO,2020-05-09 01:15,M,M,M,9.20
BUR,2020-05-09 01:20,M,M,M,4.60
FAT,2020-05-09 01:20,M,M,M,5.75
SFO,2020-05-09 01:20,M,M,M,9.20
BUR,2020-05-09 01:25,M,M,M,2.30
FAT,2020-05-09 01:25,M,M,M,5.75
SFO,2020-05-09 01:25,M,M,M,8.05
BUR,2020-05-09 01:30,M,M,M,2.30
FAT,2020-05-09 01:30,M,M,M,5.75
SFO,2020-05-09 01:30,M,M,M,9.20
BUR,2020-05-09 01:35,M,M,M,2.30
FAT,2020-05-09 01:35,M,M,M,5.75
SFO,2020-05-09 01:35,M,M,M,10.35
BUR,2020-05-09 01:40,M,M,M,0.00
FAT,2020-05-09 01:40,M,M,M,4.60
SFO,2020-05-09 01:40,M,M,M,10.35
BUR,2020-05-09 01:45,M,M,M,0.00
FAT,2020-05-09 01:45,M,M,M,5.75
SFO,2020-05-09 01:45,M,M,M,11.50
BUR,2020-05-09 01:50,M,M,M,2.30
FAT,2020-05-09 01:50,M,M,M,5.75
SFO,2020-05-09 01:50,M,M,M,11.50
BUR,2020-05-09 01:53,18.28,15.00,81.19,3.45
FAT,2020-05-09 01:53,22.78,8.28,39.43,5.75
BUR,2020-05-09 01:55,M,M,M,2.30
FAT,2020-05-09 01:55,M,M,M,4.60
SFO,2020-05-09 01:55,M,M,M,11.50
SFO,2020-05-09 01:56,10.61,8.89,89.09,11.50
BUR,2020-05-09 02:00,M,M,M,2.30
FAT,2020-05-09 02:00,M,M,M,4.60
SFO,2020-05-09 02:00,M,M,M,10.35
BUR,2020-05-09 02:05,M,M,M,0.00
FAT,2020-05-09 02:05,M,M,M,4.60
SFO,2020-05-09 02:05,M,M,M,9.20
BUR,2020-05-09 02:10,M,M,M,0.00
FAT,2020-05-09 02:10,M,M,M,2.30
SFO,2020-05-09 02:10,M,M,M,9.20
