station,valid,tmpc,dwpc,relh,sped
BUR,2020-06-09 00:00,M,M,M,9.20
FAT,2020-06-09 00:00,M,M,M,8.05
SFO,2020-06-09 00:00,M,M,M,9.20
BUR,2020-06-09 00:05,M,M,M,11.50
FAT,2020-06-09 00:05,M,M,M,8.05
SFO,2020-06-09 00:05,M,M,M,9.20
BUR,2020-06-09 00:10,M,M,M,10.35
FAT,2020-06-09 00:10,M,M,M,8.05
SFO,2020-06-09 00:10,M,M,M,9.20
BUR,2020-06-09 00:15,M,M,M,5.75
FAT,2020-06-09 00:15,M,M,M,9.20
SFO,2020-06-09 00:15,M,M,M,8.05
BUR,2020-06-09 00:20,M,M,M,10.35
FAT,2020-06-09 00:20,M,M,M,9.20
SFO,2020-06-09 00:20,M,M,M,9.20
BUR,2020-06-09 00:25,M,M,M,8.05
FAT,2020-06-09 00:25,M,M,M,9.20
SFO,2020-06-09 00:25,M,M,M,8.05
BUR,2020-06-09 00:30,M,M,M,5.75
FAT,2020-06-09 00:30,M,M,M,9.20
SFO,2020-06-09 00:30,M,M,M,9.20
BUR,2020-06-09 00:35,M,M,M,9.20
FAT,2020-06-09 00:35,M,M,M,8.05
SFO,2020-06-09 00:35,M,M,M,10.35
BUR,2020-06-09 00:40,M,M,M,0.00
FAT,2020-06-09 00:40,M,M,M,8.05
SFO,2020-06-09 00:40,M,M,M,10.35
BUR,2020-06-09 00:45,M,M,M,4.60
FAT,2020-06-09 00:45,M,M,M,5.75
SFO,2020-06-09 00:45,M,M,M,10.35
BUR,2020-06-09 00:50,M,M,M,4.60
FAT,2020-06-09 00:50,M,M,M,5.75
SFO,2020-06-09 00:50,M,M,M,5.75
CQT,2020-06-09 00:52,22.22,-0.61,21.82,0.00
BUR,2020-06-09 00:53,22.22,-5.00,15.75,3.45
FAT,2020-06-09 00:53,19.39,2.78,33.16,4.60
BUR,2020-06-09 00:55,M,M,M,2.30
FAT,2020-06-09 00:55,M,M,M,4.60
SFO,2020-06-09 00:55,M,M,M,5.75
SFO,2020-06-09 00:56,12.78,7.22,68.93,6.90
BUR,2020-06-09 01:00,M,M,M,2.30
FAT,2020-06-09 01:00,M,M,M,4.60
SFO,2020-06-09 01:00,M,M,M,5.75
BUR,2020-06-09 01:05,M,M,M,0.00
FAT,2020-06-09 01:05,M,M,M,2.30
SFO,2020-06-09 01:05,M,M,M,5.75
BUR,2020-06-09 01:10,M,M,M,0.00
FAT,2020-06-09 01:10,M,M,M,2.30
SFO,2020-06-09 01:10,M,M,M,5.75
BUR,2020-06-09 01:15,M,M,M,0.00
FAT,2020-06-09 01:15,M,M,M,2.30
SFO,2020-06-09 01:15,M,M,M,9.20
BUR,2020-06-09 01:20,M,M,M,0.00
FAT,2020-06-09 01:20,M,M,M,4.60
SFO,2020-06-09 01:20,M,M,M,8.05
BUR,2020-06-09 01:25,M,M,M,0.00
FAT,2020-06-09 01:25,M,M,M,0.00
