station,valid,tmpc,dwpc,relh,sped
BUR,2021-06-06 00:00,M,M,M,4.60
FAT,2021-06-06 00:00,M,M,M,5.75
SFO,2021-06-06 00:00,M,M,M,12.65
BUR,2021-06-06 00:05,M,M,M,5.75
FAT,2021-06-06 00:05,M,M,M,5.75
SFO,2021-06-06 00:05,M,M,M,9.20
BUR,2021-06-06 00:10,M,M,M,4.60
FAT,2021-06-06 00:10,M,M,M,8.05
SFO,2021-06-06 00:10,M,M,M,12.65
BUR,2021-06-06 00:15,M,M,M,4.60
FAT,2021-06-06 00:15,M,M,M,8.05
SFO,2021-06-06 00:15,M,M,M,11.50
BUR,2021-06-06 00:20,M,M,M,2.30
FAT,2021-06-06 00:20,M,M,M,9.20
SFO,2021-06-06 00:20,M,M,M,10.35
BUR,2021-06-06 00:25,M,M,M,4.60
FAT,2021-06-06 00:25,M,M,M,9.20
SFO,2021-06-06 00:25,M,M,M,11.50
BUR,2021-06-06 00:30,M,M,M,5.75
FAT,2021-06-06 00:30,M,M,M,9.20
SFO,2021-06-06 00:30,M,M,M,8.05
BUR,2021-06-06 00:35,M,M,M,2.30
FAT,2021-06-06 00:35,M,M,M,9.20
SFO,2021-06-06 00:35,M,M,M,10.35
BUR,2021-06-06 00:40,M,M,M,2.30
FAT,2021-06-06 00:40,M,M,M,9.20
SFO,2021-06-06 00:40,M,M,M,10.35
BUR,2021-06-06 00:45,M,M,M,4.60
SFO,2021-06-06 00:45,M,M,M,10.35
FAT,2021-06-06 00:45,M,M,M,11.50
BUR,2021-06-06 00:50,M,M,M,2.30
FAT,2021-06-06 00:50,M,M,M,9.20
SFO,2021-06-06 00:50,M,M,M,10.35
CQT,2021-06-06 00:52,17.22,13.28,77.61,0.00
BUR,2021-06-06 00:53,15.61,12.78,83.23,4.60
FAT,2021-06-06 00:53,23.28,9.39,41.24,9.20
BUR,2021-06-06 00:55,M,M,M,5.75
FAT,2021-06-06 00:55,M,M,M,9.20
SFO,2021-06-06 00:55,M,M,M,10.35
SFO,2021-06-06 00:56,14.39,7.22,62.07,10.35
BUR,2021-06-06 01:00,15.61,12.78,83.23,3.45
BUR,2021-06-06 01:00,M,M,M,2.30
FAT,2021-06-06 01:00,M,M,M,8.05
SFO,2021-06-06 01:00,M,M,M,10.35
BUR,2021-06-06 01:05,M,M,M,4.60
FAT,2021-06-06 01:05,M,M,M,5.75
SFO,2021-06-06 01:05,M,M,M,10.35
BUR,2021-06-06 01:10,M,M,M,2.30
FAT,2021-06-06 01:10,M,M,M,8.05
SFO,2021-06-06 01:10,M,M,M,10.35
