date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2016-01-01,2922,2814,2725,2652,2600,2587,2610,2658,2641,2686,2717,2739,2726,2709,2678,2662,2685,2806,3172,3256,3262,3230,3152,3009
2016-01-02,2829,2647,2526,2449,2411,2419,2483,2573,2622,2736,2865,2930,2887,2839,2769,2735,2746,2863,3213,3297,3286,3256,3191,3050
2016-01-03,2878,2710,2582,2495,2441,2439,2483,2557,2582,2661,2718,2762,2775,2761,2763,2746,2752,2880,3269,3372,3373,3333,3216,3013
2016-01-04,2786,2589,2455,2386,2358,2406,2563,2830,3023,3152,3224,3263,3271,3247,3229,3227,3220,3302,3582,3586,3523,3438,3295,3235
2016-01-05,3235,3235,3235,3235,3235,3235,3235,3235,3235,3235,3235,3474,3650,3694,3623,3509,3459,3508,3766,3791,3734,3649,3489,3231
2016-01-06,2973,2749,2608,2525,2496,2534,2699,2992,3197,3372,3517,3667,3771,3770,3630,3634,3646,3753,3920,3894,3834,3737,3580,3311
2016-01-07,3046,2821,2671,2583,2535,2575,2744,3050,3226,3310,3360,3399,3380,3350,3326,3341,3313,3380,3690,3749,3706,3637,3506,3271
2016-01-08,3031,2807,2659,2581,2547,2589,2753,3057,3229,3331,3373,3390,3372,3324,3289,3269,3256,3326,3618,3626,3584,3515,3401,3220
2016-01-09,3003,2797,2664,2570,2520,2523,2584,2698,2773,2937,3059,3080,3068,3056,3000,2987,3013,3156,3408,3439,3397,3335,3238,3061
2016-01-10,2863,2686,2556,2455,2398,2383,2413,2480,2521,2649,2731,2779,2773,2779,2760,2791,2829,2976,3285,3348,3334,3282,3158,2954
2016-01-11,2744,2552,2453,2400,2384,2454,2663,3012,3197,3273,3326,3350,3344,3316,3298,3265,3275,3367,3655,3690,3657,3595,3454,3201
2016-01-12,2929,2715,2585,2508,2483,2563,2763,3106,3295,3368,3384,3376,3347,3307,3280,3263,3248,3321,3599,3640,3614,3567,3424,3192
2016-01-13,2937,2729,2605,2530,2510,2575,2772,3125,3319,3427,3477,3465,3419,3359,3330,3312,3298,3370,3632,3673,3622,3550,3393,3135
2016-01-14,2874,2652,2515,2440,2410,2455,2638,2989,3179,3277,3318,3374,3360,3297,3289,3262,3242,3316,3599,3630,3580,3513,3366,3130
2016-01-15,2869,2662,2534,2455,2427,2470,2633,2965,3200,3324,3419,3432,3405,3336,3294,3259,3237,3280,3530,3541,3474,3388,3254,3051
2016-01-16,2848,2639,2507,2410,2350,2346,2408,2521,2591,2749,2845,2874,2889,2848,2804,2791,2790,2834,3118,3202,3161,3101,2999,2851
2016-01-17,2690,2531,2416,2341,2288,2282,2322,2386,2411,2515,2574,2640,2665,2661,2655,2652,2686,2735,3044,3146,3117,3066,2951,2795
2016-01-18,2615,2455,2350,2291,2273,2314,2446,2655,2806,2967,3092,3156,3183,3206,3218,3220,3201,3253,3498,3549,3488,3383,3203,2963
