,Restaurant_Recreaction,Grocery_Pharmacy,Retail
2019-01-01,20603.0,6073.0,34974.0
2019-01-02,26122.0,7708.0,45003.0
2019-01-03,28126.0,7685.0,47840.0
2019-01-04,31479.0,7997.0,52443.0
2019-01-05,26957.0,7350.0,46419.0
2019-01-06,22577.0,7637.0,40946.0
2019-01-07,25213.0,6738.0,43113.0
2019-01-08,29308.0,7394.0,49393.0
2019-01-09,35459.0,9225.0,56705.0
2019-01-10,36752.0,9910.0,59259.0
2019-01-11,37627.0,9949.0,60543.0
2019-01-12,32728.0,9338.0,54439.0
2019-01-13,24821.0,9021.0,42970.0
2019-01-14,33718.0,9308.0,54866.0
2019-01-15,34487.0,8857.0,54681.0
2019-01-16,37853.0,9226.0,56855.0
2019-01-17,39405.0,9903.0,58358.0
2019-01-18,41410.0,10957.0,62530.0
2019-01-19,36029.0,9949.0,54892.0
2019-01-20,22325.0,4972.0,31305.0
2019-01-21,25805.0,7577.0,39721.0
2019-01-22,37306.0,9481.0,54926.0
2019-01-23,39472.0,10600.0,61647.0
2019-01-24,40755.0,11380.0,64512.0
2019-01-25,43673.0,11057.0,68930.0
2019-01-26,38354.0,10034.0,61514.0
2019-01-27,28628.0,9573.0,48378.0
2019-01-28,38709.0,10497.0,61830.0
2019-01-29,37539.0,10033.0,59314.0
2019-01-30,36982.0,9237.0,57784.0
2019-01-31,39055.0,9126.0,60320.0
2019-02-01,35016.0,8420.0,54581.0
2019-02-02,31029.0,8124.0,50166.0
2019-02-03,22937.0,7249.0,38841.0
2019-02-04,30765.0,7571.0,48932.0
2019-02-05,45030.0,7832.0,66414.0
2019-02-06,32868.0,7353.0,50755.0
2019-02-07,32947.0,7556.0,51204.0
2019-02-08,35544.0,8040.0,55424.0
2019-02-09,32899.0,7267.0,51286.0
2019-02-10,24879.0,7314.0,40684.0
2019-02-11,32003.0,8157.0,50878.0
2019-02-12,34875.0,8050.0,54138.0
2019-02-13,36640.0,9149.0,57454.0
2019-02-14,40058.0,9748.0,62293.0
2019-02-15,40528.0,9489.0,62554.0
2019-02-16,38603.0,8866.0,59849.0
2019-02-17,32218.0,8223.0,50005.0
2019-02-18,29074.0,8339.0,47064.0
2019-02-19,39251.0,9181.0,60904.0
2019-02-20,39103.0,9170.0,61418.0
2019-02-21,39139.0,9120.0,60941.0
2019-02-22,46289.0,9931.0,67855.0
2019-02-23,41433.0,9174.0,61745.0
2019-02-24,27303.0,7979.0,42618.0
2019-02-25,34887.0,8895.0,55454.0
2019-02-26,36370.0,8158.0,56142.0
2019-02-27,38239.0,8727.0,59047.0
2019-02-28,28926.0,7150.0,45420.0
2019-03-01,40515.0,9685.0,63052.0
2019-03-02,30868.0,7564.0,48404.0
2019-03-03,27806.0,8481.0,45533.0
2019-03-04,26932.0,6579.0,41360.0
2019-03-05,36065.0,8734.0,55473.0
2019-03-06,34826.0,8641.0,54744.0
2019-03-07,37384.0,8976.0,58497.0
2019-03-08,39576.0,9050.0,62171.0
