,Restaurant_Recreaction,Grocery_Pharmacy,Retail
2019-01-01,82701.0,39255.0,162314.0
2019-01-02,106683.0,46601.0,214843.0
2019-01-03,114837.0,46971.0,225770.0
2019-01-04,131322.0,49719.0,250180.0
2019-01-05,133009.0,50686.0,255401.0
2019-01-06,101656.0,46965.0,201882.0
2019-01-07,96724.0,41383.0,191627.0
2019-01-08,110315.0,44716.0,216657.0
2019-01-09,129205.0,50998.0,246286.0
2019-01-10,131210.0,52909.0,251930.0
2019-01-11,150030.0,55136.0,279435.0
2019-01-12,136261.0,51805.0,255015.0
2019-01-13,113274.0,51190.0,223776.0
2019-01-14,121096.0,51656.0,236191.0
2019-01-15,124461.0,49122.0,237219.0
2019-01-16,129191.0,53691.0,242347.0
2019-01-17,135444.0,57827.0,251258.0
2019-01-18,146532.0,64301.0,275396.0
2019-01-19,122770.0,45037.0,218099.0
2019-01-20,115025.0,48228.0,211122.0
2019-01-21,115174.0,53861.0,225983.0
2019-01-22,122759.0,52699.0,227876.0
2019-01-23,126075.0,48034.0,230816.0
2019-01-24,139109.0,50981.0,252633.0
2019-01-25,134287.0,48001.0,243621.0
2019-01-26,133774.0,50720.0,249955.0
2019-01-27,105769.0,48308.0,205405.0
2019-01-28,117860.0,45965.0,219441.0
2019-01-29,117263.0,52195.0,226290.0
2019-01-30,58060.0,29941.0,119472.0
2019-01-31,103359.0,47048.0,205269.0
2019-02-01,123326.0,53626.0,243366.0
2019-02-02,130433.0,57727.0,260446.0
2019-02-03,98145.0,52161.0,204459.0
2019-02-04,111229.0,50507.0,220618.0
2019-02-05,112098.0,48902.0,221283.0
2019-02-06,117544.0,43779.0,220442.0
2019-02-07,120531.0,44116.0,222763.0
2019-02-08,128661.0,45724.0,239227.0
2019-02-09,139935.0,48363.0,260768.0
2019-02-10,106672.0,44676.0,205424.0
2019-02-11,108995.0,46397.0,211780.0
2019-02-12,129299.0,49822.0,242989.0
2019-02-13,133943.0,58036.0,258417.0
2019-02-14,145905.0,59024.0,271945.0
2019-02-15,152730.0,54565.0,275323.0
2019-02-16,158218.0,55448.0,285822.0
2019-02-17,116944.0,46960.0,213933.0
2019-02-18,123531.0,54783.0,241335.0
2019-02-19,135974.0,56711.0,258961.0
2019-02-20,137608.0,51101.0,249729.0
2019-02-21,142297.0,52697.0,257591.0
2019-02-22,162888.0,55764.0,288957.0
2019-02-23,153237.0,54808.0,278409.0
2019-02-24,113941.0,48714.0,213683.0
2019-02-25,122000.0,51004.0,230165.0
2019-02-26,128845.0,47605.0,232412.0
2019-02-27,135775.0,49800.0,244827.0
2019-02-28,99345.0,39041.0,185835.0
2019-03-01,151022.0,51774.0,263601.0
2019-03-02,152569.0,51256.0,270516.0
2019-03-03,117286.0,48262.0,217118.0
2019-03-04,118472.0,47711.0,219047.0
2019-03-05,122275.0,45174.0,219535.0
2019-03-06,124467.0,46349.0,225097.0
2019-03-07,135730.0,48612.0,239225.0
2019-03-08,148749.0,50009.0,259080.0
2019-03-09,145140.0,48356.0,256828.0
2019-03-10,118868.0,45839.0,213096.0
2019-03-11,128812.0,48758.0,231537.0
2019-03-12,121782.0,43254.0,213649.0
2019-03-13,127237.0,46636.0,229608.0
2019-03-14,140359.0,49288.0,250649.0
2019-03-15,160963.0,53979.0,284869.0
2019-03-16,189266.0,56439.0,327977.0
2019-03-17,134291.0,49951.0,242438.0
2019-03-18,122533.0,48436.0,229000.0
2019-03-19,135343.0,50055.0,247230.0
2019-03-20,136756.0,51371.0,251049.0
2019-03-21,143876.0,51968.0,259027.0
2019-03-22,166656.0,55300.0,290980.0
2019-03-23,170044.0,56451.0,300906.0
2019-03-24,128193.0,50062.0,232410.0
2019-03-25,130952.0,49703.0,242262.0
2019-03-26,135041.0,47566.0,241112.0
2019-03-27,143682.0,48542.0,254539.0
2019-03-28,183633.0,60437.0,319129.0
2019-03-29,159912.0,51668.0,280810.0
2019-03-30,154292.0,52334.0,276869.0
2019-03-31,97355.0,40685.0,184553.0
2019-04-01,118197.0,47380.0,221431.0
2019-04-02,132092.0,47478.0,238390.0
2019-04-03,134580.0,47411.0,242191.0
2019-04-04,139372.0,48895.0,249476.0
2019-04-05,154246.0,51387.0,273534.0
2019-04-06,162958.0,52935.0,289029.0
2019-04-07,124257.0,50964.0,232868.0
2019-04-08,134748.0,50413.0,244638.0
2019-04-09,140415.0,49089.0,251153.0
2019-04-10,132977.0,48878.0,241780.0
2019-04-11,145285.0,51834.0,261133.0
2019-04-12,158572.0,53712.0,281872.0
2019-04-13,170366.0,56325.0,304615.0
2019-04-14,104762.0,43747.0,196308.0
2019-04-15,133071.0,54797.0,253521.0
2019-04-16,140732.0,52665.0,258926.0
2019-04-17,143149.0,53316.0,262959.0
2019-04-18,142095.0,51846.0,259101.0
2019-04-19,176026.0,60630.0,313007.0
2019-04-20,168106.0,60041.0,304106.0
2019-04-21,120762.0,45393.0,205816.0
2019-04-22,145803.0,55249.0,271575.0
2019-04-23,149662.0,53275.0,275437.0
2019-04-24,157890.0,54818.0,284646.0
2019-04-25,164057.0,55844.0,291021.0
2019-04-26,191355.0,60656.0,332060.0
2019-04-27,164120.0,52943.0,288445.0
2019-04-28,139596.0,53753.0,255360.0
2019-04-29,138484.0,53902.0,255762.0
2019-04-30,105371.0,38342.0,191145.0
2019-05-01,148817.0,52730.0,264290.0
2019-05-02,140903.0,50028.0,251414.0
2019-05-03,168970.0,56782.0,298552.0
2019-05-04,169840.0,55425.0,300383.0
2019-05-05,142285.0,53393.0,251729.0
2019-05-06,134910.0,53816.0,250872.0
2019-05-07,123367.0,47545.0,226893.0
2019-05-08,149718.0,54567.0,270696.0
2019-05-09,151561.0,56005.0,274667.0
2019-05-10,179036.0,61438.0,319358.0
2019-05-11,172172.0,62126.0,315538.0
2019-05-12,143768.0,55504.0,260612.0
