,Restaurant_Recreaction,Grocery_Pharmacy,Retail
2019-01-01,108801.0,50832.0,228301.0
2019-01-02,139189.0,69294.0,313019.0
2019-01-03,160146.0,77360.0,353205.0
2019-01-04,198532.0,84744.0,418212.0
2019-01-05,183121.0,83461.0,393025.0
2019-01-06,155516.0,79669.0,327575.0
2019-01-07,122846.0,67803.0,286200.0
2019-01-08,149854.0,72423.0,332925.0
2019-01-09,162867.0,78037.0,360475.0
2019-01-10,172805.0,79193.0,375680.0
2019-01-11,206739.0,83855.0,425932.0
2019-01-12,211689.0,93141.0,443891.0
2019-01-13,161397.0,85244.0,344729.0
2019-01-14,150368.0,77723.0,343901.0
2019-01-15,156641.0,74920.0,346366.0
2019-01-16,160122.0,74530.0,351926.0
2019-01-17,168852.0,75914.0,365819.0
2019-01-18,204278.0,85903.0,426056.0
2019-01-19,203845.0,88543.0,427798.0
2019-01-20,160150.0,77944.0,331780.0
2019-01-21,159693.0,81832.0,360998.0
2019-01-22,155485.0,75335.0,346188.0
2019-01-23,154528.0,71192.0,337273.0
2019-01-24,167397.0,74463.0,360459.0
2019-01-25,207830.0,82355.0,423817.0
2019-01-26,213182.0,87597.0,434912.0
2019-01-27,166699.0,82592.0,346154.0
2019-01-28,153554.0,77878.0,345436.0
2019-01-29,154291.0,70658.0,335166.0
2019-01-30,161974.0,73057.0,350333.0
2019-01-31,169093.0,76887.0,366655.0
2019-02-01,198342.0,82792.0,407587.0
2019-02-02,214813.0,94104.0,443145.0
2019-02-03,139036.0,84047.0,311077.0
2019-02-04,139400.0,72389.0,316551.0
2019-02-05,152460.0,71702.0,332944.0
2019-02-06,158751.0,71909.0,342431.0
2019-02-07,161378.0,72336.0,345180.0
2019-02-08,192410.0,77693.0,395007.0
2019-02-09,201583.0,85750.0,421911.0
2019-02-10,157866.0,77603.0,330181.0
2019-02-11,141539.0,72738.0,322180.0
2019-02-12,170850.0,82044.0,377144.0
2019-02-13,172344.0,91794.0,390035.0
2019-02-14,198750.0,88360.0,413666.0
2019-02-15,207001.0,82618.0,424044.0
2019-02-16,217302.0,88461.0,446397.0
2019-02-17,175241.0,80254.0,354293.0
2019-02-18,174329.0,84144.0,384973.0
2019-02-19,166034.0,78364.0,364137.0
2019-02-20,183216.0,81987.0,395364.0
2019-02-21,181143.0,80589.0,387930.0
2019-02-22,229087.0,89812.0,466107.0
2019-02-23,230520.0,95978.0,477717.0
2019-02-24,183422.0,85022.0,373152.0
2019-02-25,161396.0,78335.0,357414.0
2019-02-26,163389.0,74233.0,355232.0
2019-02-27,182026.0,80141.0,393082.0
2019-02-28,136403.0,61318.0,301319.0
2019-03-01,222295.0,91360.0,457150.0
2019-03-02,235146.0,98514.0,483477.0
2019-03-03,181330.0,91955.0,380313.0
2019-03-04,160886.0,84712.0,367052.0
2019-03-05,172464.0,79605.0,373839.0
2019-03-06,184308.0,79033.0,390056.0
2019-03-07,192734.0,82871.0,405218.0
2019-03-08,224094.0,87863.0,455387.0
2019-03-09,222185.0,90218.0,455340.0
2019-03-10,179135.0,80205.0,359551.0
2019-03-11,178560.0,82833.0,388848.0
2019-03-12,169997.0,73432.0,356396.0
2019-03-13,182460.0,77817.0,381788.0
2019-03-14,206933.0,82317.0,421992.0
2019-03-15,228391.0,88293.0,461159.0
2019-03-16,234554.0,92113.0,469813.0
2019-03-17,194036.0,86196.0,387209.0
2019-03-18,165412.0,82005.0,366100.0
2019-03-19,183144.0,83215.0,392251.0
2019-03-20,189766.0,83279.0,407000.0
2019-03-21,199326.0,83038.0,415671.0
2019-03-22,233599.0,89388.0,469100.0
2019-03-23,241765.0,95577.0,487097.0
2019-03-24,189525.0,89467.0,387978.0
2019-03-25,169369.0,82894.0,376074.0
2019-03-26,180206.0,78039.0,382555.0
2019-03-27,185630.0,78547.0,393949.0
2019-03-28,244089.0,99394.0,500987.0
2019-03-29,229049.0,86077.0,460580.0
2019-03-30,233640.0,91701.0,471069.0
2019-03-31,146856.0,71721.0,307384.0
2019-04-01,158816.0,79560.0,355577.0
2019-04-02,177389.0,78741.0,379265.0
2019-04-03,178416.0,79021.0,382532.0
2019-04-04,187395.0,81118.0,397460.0
2019-04-05,225870.0,87009.0,457434.0
2019-04-06,234995.0,95439.0,479948.0
2019-04-07,174154.0,86251.0,360680.0
2019-04-08,165333.0,84901.0,372898.0
2019-04-09,182092.0,81736.0,392968.0
2019-04-10,181973.0,81485.0,392985.0
2019-04-11,191871.0,83858.0,409173.0
2019-04-12,229845.0,91134.0,468502.0
2019-04-13,248900.0,103111.0,510415.0
2019-04-14,196390.0,93499.0,403604.0
2019-04-15,179937.0,91923.0,406715.0
2019-04-16,188507.0,86673.0,411091.0
2019-04-17,190703.0,88248.0,415404.0
2019-04-18,214799.0,91430.0,450245.0
2019-04-19,250070.0,114038.0,539830.0
2019-04-20,222181.0,113665.0,493847.0
2019-04-21,147186.0,71386.0,292288.0
2019-04-22,183522.0,91095.0,412114.0
2019-04-23,178062.0,82284.0,388656.0
2019-04-24,192912.0,85851.0,416583.0
2019-04-25,206125.0,85942.0,431523.0
2019-04-26,247977.0,93645.0,494868.0
2019-04-27,253982.0,95831.0,499347.0
2019-04-28,195520.0,88767.0,390736.0
2019-04-29,175101.0,83658.0,384122.0
2019-04-30,139857.0,64318.0,308317.0
2019-05-01,188646.0,83076.0,399965.0
2019-05-02,200094.0,85142.0,418885.0
2019-05-03,244490.0,98377.0,498854.0
2019-05-04,253548.0,104899.0,518583.0
2019-05-05,200818.0,93884.0,404325.0
2019-05-06,175045.0,89095.0,393264.0
2019-05-07,163813.0,71958.0,351395.0
2019-05-08,200074.0,96097.0,440454.0
2019-05-09,205742.0,98107.0,453912.0
2019-05-10,251722.0,111285.0,532469.0
2019-05-11,244672.0,117511.0,530058.0
2019-05-12,221073.0,101809.0,443715.0
2019-05-13,182630.0,91707.0,410902.0
2019-05-14,193164.0,89694.0,422307.0
2019-05-15,201543.0,91071.0,437254.0
2019-05-16,212853.0,91730.0,451837.0
2019-05-17,251098.0,99784.0,511279.0
2019-05-18,254384.0,106030.0,519379.0
2019-05-19,185706.0,90231.0,383139.0
2019-05-20,169205.0,83919.0,377177.0
2019-05-21,184427.0,82700.0,394437.0
2019-05-22,188827.0,83443.0,406114.0
2019-05-23,203702.0,85631.0,423919.0
2019-05-24,236983.0,96252.0,486044.0
2019-05-25,225310.0,98061.0,469198.0
2019-05-26,182765.0,85857.0,371455.0
2019-05-27,152660.0,82203.0,342087.0
2019-05-28,181563.0,83776.0,389579.0
2019-05-29,194096.0,84561.0,410602.0
2019-05-30,245580.0,100651.0,500844.0
2019-05-31,174611.0,77360.0,380236.0
2019-06-01,229425.0,98224.0,467988.0
2019-06-02,186938.0,90477.0,380400.0
2019-06-03,178972.0,88838.0,395259.0
2019-06-04,189992.0,85899.0,404426.0
2019-06-05,176589.0,81408.0,381565.0
2019-06-06,201132.0,87153.0,424997.0
2019-06-07,229646.0,96216.0,477901.0
2019-06-08,222387.0,97268.0,465441.0
2019-06-09,179216.0,87790.0,368824.0
2019-06-10,177172.0,87822.0,394603.0
2019-06-11,187273.0,84219.0,399899.0
2019-06-12,191593.0,84728.0,409574.0
2019-06-13,170433.0,73581.0,361817.0
2019-06-14,228113.0,94461.0,472502.0
2019-06-15,222760.0,103394.0,478988.0
2019-06-16,181364.0,85230.0,365280.0
2019-06-17,173894.0,87272.0,387342.0
2019-06-18,187917.0,84503.0,401475.0
2019-06-19,189773.0,83811.0,405957.0
2019-06-20,201355.0,85641.0,423072.0
