,Restaurant_Recreaction,Grocery_Pharmacy,Retail
2019-01-01,3167.0,1543.0,7993.0
2019-01-02,3937.0,2082.0,10038.0
2019-01-03,4435.0,2189.0,10813.0
2019-01-04,5400.0,2355.0,12226.0
2019-01-05,5565.0,2654.0,13793.0
2019-01-06,3918.0,2470.0,10130.0
2019-01-07,3088.0,1764.0,7586.0
2019-01-08,4044.0,2055.0,9407.0
2019-01-09,4215.0,2215.0,9923.0
2019-01-10,4600.0,2387.0,10671.0
2019-01-11,4995.0,2891.0,11942.0
2019-01-12,3321.0,1995.0,7885.0
2019-01-13,3777.0,2299.0,9241.0
2019-01-14,3867.0,2199.0,9260.0
2019-01-15,3939.0,2266.0,9684.0
2019-01-16,4057.0,2521.0,10210.0
2019-01-17,4248.0,2221.0,9801.0
2019-01-18,5088.0,2880.0,12160.0
2019-01-19,4033.0,2028.0,9916.0
2019-01-20,3573.0,2023.0,8730.0
2019-01-21,4020.0,2156.0,10318.0
2019-01-22,3529.0,2165.0,8817.0
2019-01-23,3395.0,1815.0,8333.0
2019-01-24,4138.0,2229.0,9758.0
2019-01-25,5303.0,2398.0,11953.0
2019-01-26,5872.0,2734.0,14167.0
2019-01-27,4198.0,2498.0,10321.0
2019-01-28,3790.0,2174.0,8976.0
2019-01-29,3914.0,2082.0,9113.0
2019-01-30,3279.0,1644.0,7755.0
2019-01-31,4385.0,2182.0,10213.0
2019-02-01,5227.0,2458.0,11835.0
2019-02-02,5901.0,3027.0,14372.0
2019-02-03,3923.0,2603.0,9802.0
2019-02-04,3534.0,2070.0,8580.0
2019-02-05,3493.0,1899.0,8468.0
2019-02-06,3191.0,1815.0,7748.0
2019-02-07,2973.0,1631.0,7333.0
2019-02-08,5331.0,2437.0,11906.0
2019-02-09,5694.0,2955.0,14109.0
2019-02-10,3652.0,2242.0,9180.0
2019-02-11,3473.0,2066.0,8551.0
2019-02-12,4322.0,2413.0,10267.0
2019-02-13,4603.0,2629.0,11233.0
2019-02-14,5360.0,2796.0,12322.0
2019-02-15,3331.0,1991.0,8270.0
2019-02-16,5068.0,2598.0,12206.0
2019-02-17,4007.0,2194.0,9889.0
2019-02-18,4543.0,2505.0,11229.0
2019-02-19,4295.0,2473.0,10532.0
2019-02-20,3990.0,1960.0,9558.0
2019-02-21,4903.0,2393.0,11297.0
2019-02-22,6499.0,2711.0,13962.0
2019-02-23,6088.0,2985.0,14741.0
2019-02-24,4623.0,2709.0,11365.0
2019-02-25,4111.0,2291.0,10022.0
2019-02-26,4186.0,2124.0,9896.0
2019-02-27,4183.0,2062.0,9725.0
2019-02-28,3356.0,1949.0,8503.0
2019-03-01,5994.0,2879.0,13584.0
2019-03-02,6417.0,3689.0,16182.0
2019-03-03,3189.0,1955.0,7910.0
2019-03-04,3895.0,2279.0,9764.0
2019-03-05,4460.0,2228.0,10246.0
2019-03-06,4461.0,2166.0,10491.0
2019-03-07,4733.0,2313.0,10993.0
2019-03-08,6068.0,2478.0,13354.0
2019-03-09,6007.0,2855.0,14883.0
2019-03-10,4979.0,2462.0,11913.0
2019-03-11,4792.0,2368.0,11795.0
2019-03-12,4509.0,2030.0,10269.0
2019-03-13,5563.0,2193.0,11423.0
2019-03-14,5909.0,2360.0,11877.0
2019-03-15,7257.0,2591.0,14997.0
2019-03-16,7334.0,2923.0,16018.0
2019-03-17,6028.0,2529.0,12403.0
2019-03-18,5311.0,2342.0,11056.0
2019-03-19,5484.0,2339.0,11367.0
2019-03-20,5343.0,2423.0,11978.0
2019-03-21,5376.0,2369.0,12121.0
2019-03-22,6703.0,2608.0,14304.0
2019-03-23,7479.0,3128.0,17163.0
2019-03-24,5501.0,2868.0,12594.0
2019-03-25,4653.0,2392.0,10581.0
2019-03-26,4879.0,2194.0,10887.0
2019-03-27,5020.0,2366.0,11375.0
2019-03-28,6387.0,2876.0,14052.0
2019-03-29,6587.0,2625.0,14252.0
2019-03-30,6912.0,3111.0,16595.0
2019-03-31,4224.0,2469.0,10570.0
2019-04-01,4394.0,2470.0,10570.0
2019-04-02,4790.0,2352.0,10874.0
2019-04-03,4806.0,2357.0,11069.0
2019-04-04,4923.0,2388.0,11108.0
2019-04-05,6170.0,2624.0,13907.0
2019-04-06,7261.0,2949.0,16460.0
2019-04-07,5428.0,2803.0,12569.0
2019-04-08,4502.0,2369.0,10600.0
2019-04-09,4977.0,2421.0,11291.0
2019-04-10,4896.0,2375.0,11294.0
2019-04-11,5129.0,2405.0,11466.0
2019-04-12,6500.0,2788.0,14409.0
2019-04-13,7366.0,3156.0,16912.0
2019-04-14,5551.0,2813.0,12627.0
2019-04-15,4956.0,2660.0,11525.0
2019-04-16,5189.0,2534.0,11919.0
2019-04-17,4916.0,2572.0,11854.0
2019-04-18,5445.0,2756.0,12741.0
2019-04-19,7028.0,3552.0,16756.0
2019-04-20,6877.0,3897.0,17412.0
2019-04-21,3590.0,2385.0,8450.0
2019-04-22,4812.0,2565.0,11689.0
2019-04-23,4978.0,2390.0,11255.0
2019-04-24,5307.0,2366.0,11727.0
2019-04-25,5781.0,2457.0,12571.0
2019-04-26,7050.0,2720.0,15099.0
2019-04-27,8233.0,3155.0,17668.0
2019-04-28,5575.0,2750.0,12945.0
2019-04-29,4847.0,2501.0,11318.0
2019-04-30,3597.0,1857.0,8380.0
2019-05-01,5212.0,2443.0,11866.0
2019-05-02,5300.0,2453.0,11999.0
2019-05-03,6752.0,3046.0,15237.0
2019-05-04,8170.0,3243.0,19473.0
2019-05-05,6247.0,2983.0,13939.0
2019-05-06,4966.0,2618.0,12440.0
2019-05-07,4795.0,2456.0,11271.0
2019-05-08,5390.0,2701.0,12697.0
2019-05-09,5646.0,2817.0,12877.0
2019-05-10,6811.0,3249.0,15884.0
2019-05-11,7575.0,3896.0,18437.0
2019-05-12,6372.0,3148.0,14717.0
2019-05-13,4972.0,2682.0,11690.0
2019-05-14,5596.0,2718.0,12720.0
2019-05-15,5659.0,2747.0,13047.0
2019-05-16,6075.0,2868.0,13749.0
2019-05-17,7416.0,3297.0,16994.0
2019-05-18,7240.0,3449.0,17515.0
2019-05-19,5552.0,2960.0,13058.0
2019-05-20,4794.0,2459.0,11475.0
2019-05-21,5241.0,2506.0,12156.0
2019-05-22,5606.0,2781.0,13291.0
2019-05-23,6244.0,2654.0,13779.0
2019-05-24,7128.0,2915.0,16053.0
2019-05-25,7198.0,3310.0,18013.0
2019-05-26,6420.0,2853.0,14996.0
2019-05-27,4908.0,2716.0,11990.0
2019-05-28,4915.0,2574.0,11967.0
2019-05-29,5876.0,2595.0,13143.0
2019-05-30,6765.0,2908.0,14877.0
2019-05-31,5226.0,2368.0,12081.0
2019-06-01,7342.0,3190.0,16668.0
2019-06-02,6081.0,2877.0,13372.0
2019-06-03,5375.0,2723.0,12400.0
2019-06-04,5720.0,2793.0,12995.0
2019-06-05,5761.0,2634.0,13092.0
2019-06-06,6008.0,2666.0,13599.0
2019-06-07,7008.0,3035.0,16002.0
2019-06-08,7286.0,3197.0,16691.0
2019-06-09,5679.0,2798.0,12929.0
2019-06-10,5402.0,2708.0,12410.0
2019-06-11,5702.0,2592.0,12639.0
2019-06-12,5911.0,2699.0,13425.0
2019-06-13,5550.0,2293.0,12023.0
2019-06-14,7444.0,3139.0,16618.0
2019-06-15,7665.0,3378.0,17929.0
2019-06-16,6026.0,2754.0,13402.0
2019-06-17,5215.0,2584.0,12055.0
2019-06-18,5573.0,2545.0,12546.0
2019-06-19,5841.0,2528.0,12982.0
2019-06-20,6050.0,2630.0,13246.0
2019-06-21,7286.0,2961.0,16095.0
2019-06-22,7161.0,2992.0,16754.0
2019-06-23,5535.0,2821.0,13001.0
2019-06-24,5277.0,2359.0,11801.0
2019-06-25,5319.0,2241.0,11558.0
2019-06-26,5713.0,2176.0,12094.0
2019-06-27,5799.0,2349.0,12575.0
2019-06-28,6826.0,2764.0,14941.0
2019-06-29,7097.0,3000.0,17415.0
2019-06-30,4175.0,2155.0,9938.0
2019-07-01,4804.0,2559.0,11720.0
2019-07-02,5364.0,2546.0,12389.0
2019-07-03,6484.0,3107.0,14962.0
2019-07-04,4149.0,2575.0,10113.0
2019-07-05,5814.0,2469.0,13834.0
2019-07-06,6374.0,2482.0,14444.0
2019-07-07,4891.0,2315.0,10945.0
2019-07-08,4843.0,2592.0,11468.0
2019-07-09,5148.0,2389.0,11668.0
2019-07-10,5292.0,2468.0,12560.0
2019-07-11,5781.0,2491.0,13111.0
2019-07-12,6837.0,2757.0,15073.0
2019-07-13,6855.0,2830.0,16064.0
2019-07-14,5144.0,2696.0,12161.0
2019-07-15,4983.0,2473.0,11653.0
2019-07-16,5421.0,2372.0,12078.0
2019-07-17,5394.0,2404.0,12507.0
2019-07-18,5515.0,2508.0,12436.0
2019-07-19,6384.0,2650.0,14550.0
2019-07-20,6592.0,2761.0,16023.0
2019-07-21,5337.0,2497.0,12345.0
2019-07-22,5045.0,2422.0,11712.0
2019-07-23,5753.0,2345.0,12513.0
2019-07-24,5386.0,2336.0,12136.0
2019-07-25,5645.0,2449.0,12641.0
2019-07-26,6817.0,2676.0,15385.0
2019-07-27,6872.0,2743.0,16812.0
2019-07-28,5277.0,2619.0,12435.0
2019-07-29,4919.0,2517.0,11803.0
2019-07-30,6364.0,2763.0,13959.0
2019-07-31,4162.0,1971.0,9961.0
2019-08-01,5231.0,2520.0,12533.0
2019-08-02,6399.0,2700.0,15225.0
2019-08-03,6455.0,3036.0,16612.0
2019-08-04,4961.0,2561.0,12010.0
2019-08-05,4822.0,2567.0,11896.0
2019-08-06,5345.0,2533.0,12684.0
2019-08-07,5332.0,2528.0,12739.0
2019-08-08,5607.0,2668.0,13060.0
2019-08-09,6845.0,2863.0,15941.0
2019-08-10,6800.0,2859.0,16877.0
2019-08-11,5633.0,2842.0,13867.0
2019-08-12,5066.0,2647.0,12601.0
2019-08-13,5212.0,2442.0,12205.0
2019-08-14,5580.0,2567.0,12901.0
2019-08-15,5310.0,2494.0,12100.0
2019-08-16,6449.0,2729.0,14595.0
2019-08-17,7468.0,3175.0,18504.0
2019-08-18,5298.0,2936.0,13692.0
2019-08-19,4522.0,2438.0,10927.0
2019-08-20,4815.0,2410.0,11272.0
2019-08-21,4928.0,2326.0,11379.0
2019-08-22,5312.0,2539.0,12127.0
2019-08-23,6607.0,2814.0,14857.0
2019-08-24,7464.0,3172.0,18157.0
2019-08-25,4949.0,2845.0,12063.0
2019-08-26,4434.0,2363.0,10704.0
2019-08-27,4825.0,2448.0,11470.0
2019-08-28,4940.0,2377.0,11643.0
