,Restaurant_Recreaction,Grocery_Pharmacy,Retail
2019-01-01,181528.0,53980.0,327947.0
2019-01-02,234774.0,86023.0,470479.0
2019-01-03,248411.0,86841.0,489998.0
2019-01-04,277767.0,92772.0,538440.0
2019-01-05,251528.0,84947.0,484772.0
2019-01-06,235007.0,85943.0,455393.0
2019-01-07,219173.0,83489.0,448355.0
2019-01-08,247233.0,87893.0,492152.0
2019-01-09,269175.0,95080.0,533771.0
2019-01-10,277906.0,95432.0,546554.0
2019-01-11,301997.0,97644.0,579665.0
2019-01-12,286177.0,93177.0,542618.0
2019-01-13,257380.0,90163.0,491055.0
2019-01-14,232590.0,85583.0,468950.0
2019-01-15,245197.0,85680.0,487205.0
2019-01-16,251045.0,88562.0,503436.0
2019-01-17,248376.0,87208.0,495690.0
2019-01-18,288131.0,93647.0,560087.0
2019-01-19,290653.0,87733.0,543428.0
2019-01-20,246138.0,80424.0,461468.0
2019-01-21,235534.0,88789.0,485569.0
2019-01-22,248010.0,88321.0,498727.0
2019-01-23,256441.0,87933.0,496198.0
2019-01-24,264653.0,88298.0,504799.0
2019-01-25,295495.0,92772.0,554263.0
2019-01-26,293075.0,87563.0,532746.0
2019-01-27,252543.0,84310.0,463677.0
2019-01-28,245290.0,89023.0,481413.0
2019-01-29,242922.0,82633.0,469971.0
2019-01-30,255393.0,87441.0,497210.0
2019-01-31,242865.0,84852.0,471622.0
2019-02-01,270207.0,87456.0,510079.0
2019-02-02,233408.0,79364.0,441198.0
2019-02-03,189605.0,76381.0,370633.0
2019-02-04,211573.0,77074.0,416871.0
2019-02-05,227025.0,77257.0,439491.0
2019-02-06,238659.0,80104.0,462551.0
2019-02-07,241927.0,79859.0,465144.0
2019-02-08,273825.0,85110.0,519217.0
2019-02-09,274595.0,82539.0,512592.0
2019-02-10,222582.0,76936.0,420823.0
2019-02-11,234929.0,85557.0,467922.0
2019-02-12,265739.0,92605.0,521154.0
2019-02-13,249023.0,95452.0,497364.0
2019-02-14,262788.0,88826.0,502774.0
2019-02-15,276101.0,87113.0,522179.0
2019-02-16,295057.0,87177.0,539990.0
