,Restaurant_Recreaction,Grocery_Pharmacy,Retail
2019-01-01,227654.0,56806.0,361170.0
2019-01-02,294437.0,79190.0,484938.0
2019-01-03,309501.0,82971.0,508521.0
2019-01-04,342662.0,85569.0,551483.0
2019-01-05,292893.0,75859.0,470627.0
2019-01-06,265074.0,76364.0,436006.0
2019-01-07,265856.0,75416.0,442411.0
2019-01-08,302113.0,81450.0,497372.0
2019-01-09,348712.0,88306.0,564851.0
2019-01-10,358243.0,89782.0,578325.0
2019-01-11,371750.0,91182.0,595885.0
2019-01-12,346286.0,85542.0,552394.0
2019-01-13,281549.0,78081.0,460316.0
2019-01-14,331986.0,86153.0,540798.0
2019-01-15,336393.0,84655.0,544588.0
2019-01-16,347140.0,88987.0,566198.0
2019-01-17,346883.0,90653.0,566463.0
2019-01-18,368861.0,94503.0,595675.0
2019-01-19,334824.0,84886.0,539494.0
2019-01-20,257039.0,66451.0,414325.0
2019-01-21,242776.0,69868.0,407904.0
2019-01-22,328319.0,84088.0,541264.0
2019-01-23,350353.0,86395.0,571238.0
2019-01-24,342584.0,81716.0,555457.0
2019-01-25,394999.0,93193.0,632768.0
2019-01-26,354282.0,82893.0,563740.0
2019-01-27,294611.0,77676.0,479685.0
2019-01-28,342473.0,87687.0,562339.0
2019-01-29,332645.0,83740.0,541396.0
2019-01-30,319397.0,85019.0,524105.0
2019-01-31,331869.0,86769.0,541221.0
2019-02-01,325717.0,79252.0,523418.0
2019-02-02,311960.0,75537.0,499566.0
2019-02-03,263381.0,71038.0,428281.0
2019-02-04,307626.0,77551.0,497319.0
2019-02-05,326934.0,78379.0,523240.0
2019-02-06,318087.0,75309.0,507223.0
2019-02-07,322585.0,77127.0,515161.0
2019-02-08,355253.0,80491.0,557786.0
2019-02-09,325897.0,74255.0,512365.0
2019-02-10,268502.0,68938.0,432887.0
2019-02-11,319448.0,81252.0,516804.0
2019-02-12,319703.0,79691.0,513473.0
2019-02-13,350374.0,90644.0,570582.0
2019-02-14,380848.0,94936.0,611555.0
2019-02-15,391916.0,93674.0,620774.0
2019-02-16,368293.0,86927.0,580009.0
2019-02-17,307742.0,75559.0,485783.0
2019-02-18,311338.0,84923.0,510941.0
2019-02-19,355552.0,91112.0,576445.0
2019-02-20,333503.0,85229.0,535803.0
2019-02-21,364571.0,90488.0,582039.0
2019-02-22,391810.0,93817.0,619902.0
2019-02-23,358362.0,86334.0,566527.0
2019-02-24,271485.0,73389.0,437242.0
2019-02-25,330874.0,85309.0,535264.0
2019-02-26,337778.0,83144.0,539141.0
2019-02-27,342787.0,83722.0,545410.0
2019-02-28,270455.0,69871.0,438404.0
2019-03-01,341396.0,81526.0,529070.0
2019-03-02,311687.0,73979.0,481442.0
2019-03-03,268813.0,73991.0,428770.0
2019-03-04,283327.0,75172.0,454976.0
2019-03-05,323117.0,80902.0,511971.0
2019-03-06,318209.0,79334.0,507466.0
2019-03-07,341060.0,85283.0,544145.0
2019-03-08,369563.0,86201.0,579496.0
2019-03-09,334179.0,77412.0,521777.0
2019-03-10,265425.0,68339.0,419846.0
2019-03-11,346269.0,87220.0,552490.0
2019-03-12,313958.0,76145.0,496626.0
2019-03-13,325667.0,80065.0,520036.0
2019-03-14,358363.0,87054.0,567524.0
2019-03-15,390687.0,93001.0,615959.0
2019-03-16,376061.0,86705.0,589886.0
2019-03-17,291352.0,76451.0,466747.0
2019-03-18,317644.0,83155.0,514520.0
2019-03-19,351369.0,88350.0,565070.0
2019-03-20,356710.0,90417.0,574685.0
2019-03-21,345199.0,84122.0,548028.0
2019-03-22,385199.0,90581.0,604938.0
2019-03-23,370339.0,88141.0,582652.0
2019-03-24,317308.0,81249.0,503316.0
2019-03-25,349481.0,90078.0,561806.0
2019-03-26,354176.0,86098.0,562272.0
2019-03-27,360703.0,86580.0,573056.0
2019-03-28,448558.0,105691.0,705173.0
2019-03-29,394316.0,90827.0,618596.0
2019-03-30,381310.0,85172.0,591638.0
2019-03-31,230255.0,61760.0,372115.0
2019-04-01,306360.0,78379.0,491660.0
2019-04-02,329401.0,80752.0,524793.0
2019-04-03,349317.0,83906.0,551797.0
2019-04-04,364588.0,87904.0,577215.0
2019-04-05,369627.0,86146.0,578785.0
2019-04-06,379968.0,86789.0,590231.0
2019-04-07,307253.0,78819.0,485985.0
2019-04-08,338015.0,85737.0,541205.0
2019-04-09,342256.0,85072.0,545920.0
2019-04-10,360019.0,89439.0,573681.0
2019-04-11,363929.0,89869.0,577629.0
2019-04-12,389984.0,92247.0,611294.0
2019-04-13,415597.0,95112.0,644434.0
2019-04-14,334908.0,87305.0,530701.0
2019-04-15,375198.0,97721.0,604748.0
2019-04-16,393380.0,98619.0,626109.0
2019-04-17,393026.0,97561.0,623376.0
2019-04-18,395328.0,96705.0,623979.0
2019-04-19,410322.0,99923.0,646766.0
2019-04-20,343255.0,86155.0,543419.0
2019-04-21,299279.0,76259.0,463115.0
2019-04-22,358702.0,93563.0,576128.0
2019-04-23,389545.0,96637.0,614020.0
2019-04-24,405053.0,101325.0,642871.0
2019-04-25,398934.0,98579.0,633084.0
2019-04-26,405324.0,98437.0,640965.0
2019-04-27,400137.0,95786.0,629045.0
2019-04-28,311724.0,84522.0,501188.0
2019-04-29,365805.0,95962.0,592909.0
2019-04-30,281541.0,71644.0,454521.0
2019-05-01,355417.0,88174.0,571240.0
2019-05-02,365868.0,89782.0,581591.0
2019-05-03,398249.0,96349.0,630526.0
2019-05-04,376798.0,86980.0,589541.0
2019-05-05,270831.0,71890.0,432492.0
2019-05-06,349481.0,90328.0,563181.0
2019-05-07,322426.0,78788.0,511038.0
2019-05-08,379434.0,93637.0,603850.0
2019-05-09,376350.0,93155.0,601373.0
2019-05-10,420412.0,101992.0,665103.0
2019-05-11,395837.0,93201.0,622208.0
2019-05-12,282695.0,74896.0,451487.0
2019-05-13,331929.0,87028.0,538672.0
2019-05-14,359190.0,90125.0,575675.0
2019-05-15,387239.0,95503.0,615383.0
2019-05-16,403882.0,97816.0,637871.0
2019-05-17,424994.0,99945.0,667711.0
2019-05-18,399465.0,90265.0,620413.0
2019-05-19,300865.0,74892.0,471223.0
2019-05-20,329560.0,82859.0,525311.0
2019-05-21,342970.0,82695.0,543103.0
2019-05-22,350027.0,84441.0,553574.0
2019-05-23,345892.0,84012.0,549003.0
2019-05-24,376767.0,90895.0,593273.0
2019-05-25,338565.0,80397.0,531352.0
2019-05-26,292362.0,69858.0,453750.0
2019-05-27,267180.0,70896.0,425356.0
2019-05-28,320313.0,80565.0,512265.0
2019-05-29,344997.0,82893.0,544970.0
2019-05-30,419162.0,97862.0,656091.0
2019-05-31,315584.0,77520.0,502456.0
2019-06-01,345692.0,79816.0,536360.0
2019-06-02,310681.0,77240.0,486238.0
2019-06-03,334064.0,83293.0,529621.0
2019-06-04,353512.0,84942.0,555416.0
2019-06-05,362021.0,85172.0,564143.0
2019-06-06,366989.0,86275.0,573196.0
2019-06-07,386427.0,88574.0,598907.0
2019-06-08,365439.0,83325.0,562238.0
2019-06-09,295759.0,72882.0,458912.0
2019-06-10,314145.0,78148.0,496146.0
2019-06-11,359813.0,87134.0,564852.0
2019-06-12,369093.0,87898.0,574879.0
2019-06-13,314723.0,75924.0,493399.0
2019-06-14,387197.0,90349.0,600047.0
2019-06-15,361862.0,85504.0,560122.0
2019-06-16,290609.0,74282.0,453215.0
2019-06-17,335094.0,84180.0,529775.0
2019-06-18,334653.0,79749.0,523994.0
2019-06-19,360158.0,85549.0,560365.0
2019-06-20,380929.0,87510.0,588136.0
2019-06-21,393528.0,89223.0,603624.0
2019-06-22,365144.0,82325.0,556474.0
2019-06-23,318612.0,79193.0,489518.0
2019-06-24,357808.0,87006.0,557562.0
2019-06-25,349473.0,84388.0,545060.0
2019-06-26,377919.0,87003.0,580529.0
2019-06-27,376191.0,89049.0,585423.0
2019-06-28,403029.0,92846.0,625824.0
2019-06-29,369666.0,83360.0,568281.0
2019-06-30,271793.0,64195.0,418099.0
2019-07-01,320908.0,78843.0,505963.0
2019-07-02,323713.0,79200.0,513220.0
2019-07-03,335653.0,85520.0,535947.0
2019-07-04,250954.0,65854.0,390199.0
2019-07-05,317765.0,77915.0,501890.0
2019-07-06,303434.0,74446.0,476212.0
2019-07-07,270743.0,70857.0,425764.0
2019-07-08,312326.0,80529.0,499947.0
2019-07-09,327603.0,81289.0,517933.0
2019-07-10,340690.0,83114.0,535578.0
2019-07-11,332167.0,80464.0,522069.0
2019-07-12,366748.0,89104.0,576834.0
2019-07-13,331358.0,79640.0,516273.0
2019-07-14,277330.0,72013.0,434509.0
2019-07-15,328520.0,83333.0,521966.0
2019-07-16,342457.0,82696.0,538322.0
2019-07-17,342097.0,81938.0,535888.0
2019-07-18,342251.0,84088.0,540737.0
2019-07-19,358860.0,85824.0,562142.0
2019-07-20,311140.0,75208.0,486820.0
2019-07-21,276301.0,70710.0,432646.0
2019-07-22,317682.0,79015.0,502039.0
2019-07-23,328606.0,83078.0,523670.0
2019-07-24,347225.0,83262.0,544539.0
2019-07-25,348291.0,81081.0,542596.0
2019-07-26,359411.0,83734.0,560449.0
2019-07-27,324477.0,76771.0,505247.0
2019-07-28,277811.0,70039.0,432457.0
2019-07-29,317292.0,79499.0,503067.0
2019-07-30,381914.0,88518.0,591792.0
