,Restaurant_Recreaction,Grocery_Pharmacy,Retail
2019-01-01,32174.0,12213.0,55382.0
2019-01-02,33990.0,15769.0,64342.0
2019-01-03,37807.0,16767.0,70356.0
2019-01-04,43465.0,18241.0,79630.0
2019-01-05,38693.0,16587.0,71701.0
2019-01-06,32824.0,15935.0,62165.0
2019-01-07,33080.0,14552.0,61126.0
2019-01-08,39048.0,16393.0,70985.0
2019-01-09,44520.0,18446.0,80300.0
2019-01-10,45484.0,19295.0,82901.0
2019-01-11,50240.0,20390.0,90405.0
2019-01-12,47816.0,20283.0,87665.0
2019-01-13,34050.0,15675.0,62894.0
2019-01-14,44976.0,18832.0,80389.0
2019-01-15,46259.0,18433.0,81245.0
2019-01-16,49802.0,19001.0,86205.0
2019-01-17,50204.0,20665.0,88821.0
2019-01-18,52272.0,20271.0,90960.0
2019-01-19,47915.0,19514.0,86004.0
2019-01-20,35608.0,15294.0,64576.0
2019-01-21,34885.0,15630.0,64904.0
2019-01-22,47241.0,18108.0,82661.0
2019-01-23,49919.0,18619.0,89663.0
2019-01-24,48345.0,17873.0,87947.0
2019-01-25,56414.0,20286.0,99687.0
2019-01-26,49966.0,18851.0,90971.0
2019-01-27,39531.0,17474.0,74935.0
2019-01-28,48898.0,19386.0,89202.0
2019-01-29,47063.0,18079.0,85199.0
2019-01-30,45938.0,17216.0,80943.0
2019-01-31,49031.0,17926.0,85100.0
2019-02-01,46232.0,16752.0,82054.0
2019-02-02,46163.0,17795.0,85331.0
2019-02-03,36148.0,15767.0,68929.0
2019-02-04,42695.0,16365.0,77591.0
2019-02-05,45834.0,16822.0,82612.0
2019-02-06,43796.0,16537.0,79433.0
2019-02-07,44155.0,16479.0,79554.0
2019-02-08,48743.0,17649.0,87304.0
2019-02-09,47888.0,17355.0,87437.0
2019-02-10,37474.0,15966.0,71356.0
2019-02-11,40414.0,16520.0,75448.0
2019-02-12,42893.0,16746.0,77896.0
2019-02-13,47560.0,19510.0,88160.0
2019-02-14,52495.0,20308.0,94870.0
2019-02-15,56230.0,20148.0,99555.0
2019-02-16,54682.0,19767.0,97629.0
2019-02-17,42603.0,16956.0,77327.0
2019-02-18,48053.0,18900.0,87417.0
2019-02-19,53328.0,20581.0,95523.0
2019-02-20,37000.0,15185.0,70125.0
2019-02-21,53043.0,19677.0,96906.0
2019-02-22,60577.0,21258.0,108105.0
2019-02-23,56186.0,20408.0,102571.0
2019-02-24,40210.0,16849.0,76828.0
2019-02-25,47753.0,18719.0,89474.0
2019-02-26,49056.0,18192.0,88785.0
2019-02-27,51161.0,18842.0,91866.0
2019-02-28,39876.0,15312.0,72207.0
2019-03-01,48696.0,17811.0,86741.0
2019-03-02,49806.0,18778.0,91013.0
2019-03-03,37202.0,16819.0,71314.0
2019-03-04,42137.0,17694.0,79168.0
2019-03-05,44409.0,17378.0,81576.0
2019-03-06,43408.0,17153.0,80660.0
2019-03-07,46868.0,18187.0,85505.0
