date,q_0.10,q_0.25,q_0.50,q_0.75,q_0.90
2020-02-01,26.564854177393045,-34.880766954715,-110.42167267250215,-143.973430340282,-215.15808682003853
2020-02-02,21.941428961899874,-34.63958268287524,-70.36005362579363,-119.71716702249432,-159.36366502137298
2020-02-03,149.55846458209135,62.64077734643479,-66.48193807968255,-204.64093566738393,-327.312804880527
2020-02-04,271.9629208060296,207.4589595896682,124.03456409230876,36.80704937445125,-52.6522015783421
2020-02-05,352.5263374394658,283.12752196238944,210.9732860952904,151.1481314552675,101.65525812425949
2020-02-06,323.5203405147681,262.641344257348,213.5714642694038,173.0426083663392,143.6452992207378
2020-02-07,271.27619398392017,233.48069536033745,197.15709713025763,161.1185494686224,121.35114738845823
2020-02-08,99.97802183866725,74.39468864508444,49.37014604219394,10.976537796356297,-16.86775405526714
2020-02-09,63.15331932732488,22.247158206042513,-24.932476968743686,-66.34945599177809,-108.83307169203636
2020-02-10,191.69867599295003,151.92168985840908,86.57145031868549,36.198050257068644,-10.72713776627188
2020-02-11,169.97885098025654,139.71270846938296,104.15765808040669,67.02327483145746,29.591035682298752
2020-02-12,165.53947622232636,145.28874698823574,108.70183601058534,72.76337070120553,52.206265528693166
2020-02-13,210.87237694686837,168.6014522659707,129.84083551422464,106.0558704666455,85.05245358992988
2020-02-14,231.78873394691755,200.10390984758715,165.1496629779117,133.89675920914942,98.07600099473484
2020-02-15,48.773583860726376,24.015276382208413,-7.697797364530288,-47.45451587238267,-72.3544330458335
2020-02-16,118.94360060472536,80.79342498902588,49.39496818769021,16.751176289680643,-16.41165722859705
2020-02-17,73.31147147145703,18.917260342312602,-40.048248746426,-91.81105341282819,-155.96778195967
2020-02-18,-2.05561258420812,-42.43737955409506,-82.6795373352229,-119.45698931319475,-141.463415455813
2020-02-19,5.242844180672819,-29.38064117556587,-63.424032812531095,-95.70712496244414,-139.99446530161413
2020-02-20,103.23532726529311,64.37453898028798,5.206849917730324,-32.932109497894544,-80.16136874624954
2020-02-21,101.65493207754253,68.87338662578577,28.411978660925342,-18.046563760231038,-60.302535899233135
2020-02-22,-58.742963525299274,-104.33701114313635,-147.40151785552598,-185.84950676117433,-218.89990889006413
2020-02-23,-10.199887377350933,-42.89382290076583,-79.48967567324189,-118.74568418342915,-156.78950336284652
2020-02-24,16.347799328107158,-23.41769498004396,-69.81605954172483,-96.0035678393142,-136.12514555676898
2020-02-25,49.08776829312092,-15.29202044648946,-89.37497055509266,-146.02797969881567,-194.33485830740028
2020-02-26,130.10378508125405,66.75734780578796,25.792898860211608,-32.23244231046283,-74.11120289207702
2020-02-27,117.94511459492787,53.99360368871339,-31.758943444989654,-99.39393314378367,-191.93693784823472
2020-02-28,53.62318544970367,-25.09077640170517,-116.06503710988136,-198.41772517969912,-276.54913281166
2020-02-29,14.236033575289184,-25.733149542794308,-67.94111717459464,-116.77511236418468,-149.10907556089205
2020-03-01,-22.50454326805675,-72.06521608849789,-122.36017170102059,-157.54964871122183,-201.98351952888834
2020-03-02,52.92051239878583,-3.9583043882139464,-68.23043095815774,-132.40265054572228,-184.83529047685806
2020-03-03,115.22830246875628,67.97888975106434,14.397165016770487,-57.35602803850179,-104.4607662942376
2020-03-04,43.75089563365282,7.181312702813557,-28.254603277039223,-65.50715662415132,-99.21960348308494
2020-03-05,107.85727149701006,69.7043468221259,33.935744852907646,-0.4195457279729453,-35.86799951693092
2020-03-06,55.21703724348981,16.64092574918959,-9.14170297646433,-40.21579033538001,-82.57174715433166
2020-03-07,-62.820302145459664,-96.77975120505289,-142.49501555895904,-173.24683859193283,-225.66733806716275
2020-03-08,,,,,
2020-03-09,-1.554012952197354,-33.61130451989038,-87.39146955165506,-136.17704852064935,-172.234608375079
2020-03-10,-2.600171583307201,-78.89853582763999,-129.70512227181098,-179.67511811035638,-243.02992568207037
2020-03-11,47.48678746551195,0.2626046971463438,-37.10189433495316,-73.75399370482637,-107.4824523925513
2020-03-12,85.13326414923677,52.80849803489082,15.026952386602716,-21.848186626222287,-50.297636709009566
2020-03-13,109.18140416238157,68.54319284997337,29.93204146100379,3.0974883782187135,-46.1174170384561
2020-03-14,50.409341754862,20.225750636081102,-27.609357937777077,-62.786057667857676,-106.36288160796812
2020-03-15,-14.297411456193458,-65.36159251847448,-106.4821095142961,-139.89196885122192,-185.95776227192755
2020-03-16,-6.154927426411177,-47.197288136982024,-117.44721829251466,-160.06170951168042,-205.19738823037142
2020-03-17,-33.77054593741195,-89.55382539898892,-141.87699999533515,-188.10261504002074,-228.8162874037057
2020-03-18,-64.55120553130018,-112.32239682522686,-148.91315875787996,-199.44481585597896,-240.67645661431015
2020-03-19,-66.34036239596662,-106.81335967624454,-143.90988492630322,-180.39824948238038,-238.27344452589523
2020-03-20,-16.06725107201737,-53.0977190712224,-85.9571188844202,-134.8505589000324,-177.06276606342954
2020-03-21,-153.48559924195888,-180.43136339444754,-215.55321359020627,-241.60739779128198,-289.04440079200776
2020-03-22,-109.26865578183106,-141.21612907035433,-175.5256632357009,-218.7565445135333,-257.04168308148155
2020-03-23,-185.12753740499056,-229.8540638816453,-284.91207137786387,-333.02251796681776,-368.86902277354284
2020-03-24,-140.38339475144585,-207.5713472568841,-242.79465642396735,-280.00588818881715,-320.4482167365022
2020-03-25,-155.75300367977525,-200.16744159957852,-258.2416747940292,-297.660130570177,-343.44681236615725
2020-03-26,-227.6373281856777,-284.66264857855367,-336.52016275946426,-386.94451663829113,-457.3680947059911
2020-03-27,-96.79544624020173,-151.37719977895085,-198.92847830909386,-238.91711696752418,-285.55006008876035
2020-03-28,-175.24919139066105,-220.56405019833483,-256.3428959779535,-302.85956544554665,-334.595505698795
2020-03-29,-160.73478269234238,-212.74165134328632,-257.2592962300191,-306.9918548830965,-347.08616655516244
2020-03-30,-301.9572820278404,-355.0043138558585,-388.49340882000115,-425.6247987554052,-465.6108658143871
2020-03-31,-282.0722847463303,-309.583339844733,-354.16883057987843,-394.43448985315945,-431.5446185717333
2020-04-01,-249.9355857563246,-276.33501221728693,-320.3010683608227,-349.52659504430585,-391.7409559311809
2020-04-02,-271.2121693821264,-315.6133475893753,-364.42214547059893,-396.5819731670981,-442.7343730629068
2020-04-03,-289.57837252643867,-321.85667923424353,-361.0020255981249,-401.4807479167798,-435.6534047050968
2020-04-04,-308.5465497893033,-348.15221653967455,-386.7233038216855,-426.0223518038197,-467.6702595261495
2020-04-05,-323.9178303721037,-365.6049202622635,-399.442236648335,-444.4074896520424,-487.5710222179714
2020-04-06,-320.38718963876136,-367.29659878619805,-432.03137231811115,-484.78667951227726,-531.6105989130119
2020-04-07,-268.0940649338145,-317.90631167513766,-359.70894846987176,-397.4277825087843,-435.73363530836014
2020-04-08,-296.2498762445757,-368.9126229804806,-407.7779431855679,-446.01982160744456,-474.5554756572378
2020-04-09,-263.99211531761875,-329.647944958645,-397.3905312473321,-459.9154820012418,-525.6618398397859
2020-04-10,-175.66624098168404,-229.7746609806145,-275.5168798094319,-320.1671987516229,-355.82134440618984
2020-04-11,-275.19561984665006,-311.95460678123936,-344.23223350107446,-392.822040782818,-427.21499745329174
