date,q_0.10,q_0.25,q_0.50,q_0.75,q_0.90
2020-02-01,-56.308971808698516,-85.08053524104162,-114.59596266880408,-173.57869976242728,-200.63706494342068
2020-02-02,25.068365058710697,-21.245058155282095,-66.96425363203707,-94.30115471407953,-127.63905806577213
2020-02-03,56.79875685841807,32.44331582135101,1.4505039168407166,-39.36140141552505,-69.80616618260683
2020-02-04,43.43426530216084,19.844102590098828,-20.795100397868282,-60.52399030865263,-85.13953445203379
2020-02-05,6.358652373119185,-13.181561842641713,-42.2213318680856,-75.40810750827723,-103.80252458279665
2020-02-06,61.32987989887624,28.059023137137046,3.391820971037305,-36.112915316175986,-67.48128569372511
2020-02-07,139.28910130526538,116.05342554888193,73.32365587910772,31.246784268761985,4.418517522783077
2020-02-08,-89.98883677639515,-120.9839074770789,-158.47760026977267,-210.46885144394946,-233.2720744556823
2020-02-09,-22.242798028481047,-66.69555956508657,-123.54217994079272,-159.13874545743602,-196.52833303797388
2020-02-10,132.5829095872432,101.56517198496795,64.39498089200015,23.36735317418197,-25.8681433126294
2020-02-11,58.94294277796644,43.265233717455885,8.218177363076848,-38.374572270855424,-66.05371547477534
2020-02-12,26.71472411753939,2.2551669982426574,-43.16418176904699,-66.73948563671865,-96.31658207777764
2020-02-13,53.791531201484304,29.57472527533946,2.8083161474237386,-32.11500856050634,-74.15866765870032
2020-02-14,-23.19310885419327,-47.15168275688711,-103.31389958187674,-135.4605549440107,-163.43733491710827
2020-02-15,-83.70246335113052,-139.4014101899943,-184.43680211355286,-224.00568046173203,-259.07409202969166
2020-02-16,108.74128786419351,72.1873720877993,29.203715439386087,-6.599664076400586,-31.193712455814875
2020-02-17,181.82813675618036,119.99116414872378,45.66743528874804,-22.717044998843903,-98.47412061119167
2020-02-18,85.28951371368612,58.37394661497319,28.20001540334897,-2.387908888176753,-38.23581959262765
2020-02-19,78.11063526146472,25.90575358243177,-23.694870738916507,-76.05084399233283,-106.47161013113055
2020-02-20,2.760902279230322,-23.853645421937472,-62.17936927242363,-90.84084295809453,-120.77997740521823
2020-02-21,9.495511226483359,-35.01894379601708,-72.06194737298256,-103.56513583652395,-151.8810214554469
2020-02-22,47.61792658757986,2.591596137730903,-42.40201678920539,-99.95823177952116,-141.95264332932175
2020-02-23,116.5195803470001,85.25325519802118,23.414447220144666,-42.682795976911166,-89.29838847153906
2020-02-24,113.90058632904902,68.97674740482216,28.473790956557878,-29.01878531645798,-79.70717672478986
2020-02-25,-43.99976227911202,-63.1099489549124,-108.02316865896546,-148.19392762472944,-176.90531823285437
2020-02-26,-42.44282080555786,-65.02505686497761,-103.44834237715395,-136.06896650356975,-154.84026588262486
2020-02-27,46.97067978257655,14.999421151088427,-50.61020080634307,-91.72949803868414,-116.04786209473241
2020-02-28,-15.49699118777744,-57.246131102292566,-88.20346751455236,-132.97321716347687,-174.38972914827582
2020-02-29,-163.8683747503078,-211.14713917972585,-242.63084573395327,-285.27276891427937,-320.0573667286021
2020-03-01,-182.69698576016117,-228.15035344816306,-270.6788396406896,-309.51872396711815,-346.96274144838844
2020-03-02,6.900070842541027,-28.85425228518079,-67.09871283987604,-109.80211752890227,-144.8943468831726
2020-03-03,-41.86912412116817,-64.24742390394567,-89.527717572053,-129.08307846025673,-166.84874350490782
2020-03-04,-0.422070062290004,-50.90815082781455,-121.9519570222169,-188.66406521884255,-220.2712617469574
2020-03-05,-1.9260167665092922,-46.43812724262443,-81.13857566049273,-115.15283573109718,-152.1163385308464
2020-03-06,-144.11048486522895,-177.52514308953369,-206.5963947251471,-235.8589003170805,-258.9935364568064
2020-03-07,-94.52740493693818,-173.7410313404912,-236.1434079063397,-301.72245656901214,-361.42241782375777
2020-03-08,33.61748279619678,-11.532410321106,-75.11093070648803,-142.67746077735,-187.9271889658121
2020-03-09,133.0268207375816,82.4246393816311,14.568741685056466,-60.28258376498161,-107.49781924949366
2020-03-10,-43.320076415649964,-87.99716879838161,-131.78304603233846,-182.3187595910481,-221.45518974457445
2020-03-11,-144.74838554867029,-169.5115949820015,-195.67965761878213,-233.38495695988968,-270.763454116945
2020-03-12,-164.7265476119137,-191.56597283771634,-229.94662479538783,-252.21413222438423,-296.5165454608914
2020-03-13,58.87549192148117,26.893215023388166,-14.32724783947424,-65.49851845344301,-97.83525121634011
2020-03-14,-138.68982135486976,-167.3787435051272,-207.12280607086723,-260.1014865834254,-275.9965411771336
2020-03-15,-220.4692132935079,-273.6355126992871,-320.74644988542195,-371.82381360931004,-400.28089763999833
2020-03-16,-233.2780861639394,-254.60345130777978,-301.67748329210235,-352.82224764173816,-396.7479454819327
