date,accum_confirm,new_confirm,infect_rate,accum_death,new_death,fatal_rate
2020-01-23,0,0,0.0,0,0,0.0
2020-01-24,0,0,0.0,0,0,0.0
2020-01-25,0,0,0.0,0,0,0.0
2020-01-26,0,0,0.0,0,0,0.0
2020-01-27,0,0,0.0,0,0,0.0
2020-01-28,0,0,0.0,0,0,0.0
2020-01-29,0,0,0.0,0,0,0.0
2020-01-30,0,0,0.0,0,0,0.0
2020-01-31,0,0,0.0,0,0,0.0
2020-02-01,0,0,0.0,0,0,0.0
2020-02-02,0,0,0.0,0,0,0.0
2020-02-03,0,0,0.0,0,0,0.0
2020-02-04,0,0,0.0,0,0,0.0
2020-02-05,0,0,0.0,0,0,0.0
2020-02-06,0,0,0.0,0,0,0.0
2020-02-07,0,0,0.0,0,0,0.0
2020-02-08,0,0,0.0,0,0,0.0
2020-02-09,0,0,0.0,0,0,0.0
2020-02-10,0,0,0.0,0,0,0.0
2020-02-11,0,0,0.0,0,0,0.0
2020-02-12,0,0,0.0,0,0,0.0
2020-02-13,0,0,0.0,0,0,0.0
2020-02-14,0,0,0.0,0,0,0.0
2020-02-15,0,0,0.0,0,0,0.0
2020-02-16,0,0,0.0,0,0,0.0
2020-02-17,0,0,0.0,0,0,0.0
2020-02-18,0,0,0.0,0,0,0.0
2020-02-19,0,0,0.0,0,0,0.0
2020-02-20,0,0,0.0,0,0,0.0
2020-02-21,0,0,0.0,0,0,0.0
2020-02-22,0,0,0.0,0,0,0.0
2020-02-23,0,0,0.0,0,0,0.0
2020-02-24,0,0,0.0,0,0,0.0
2020-02-25,0,0,0.0,0,0,0.0
2020-02-26,0,0,0.0,0,0,0.0
2020-02-27,0,0,0.0,0,0,0.0
2020-02-28,0,0,0.0,0,0,0.0
2020-02-29,0,0,0.0,0,0,0.0
2020-03-01,0,0,0.0,0,0,0.0
2020-03-02,0,0,0.0,0,0,0.0
2020-03-03,0,0,0.0,0,0,0.0
2020-03-04,0,0,0.0,0,0,0.0
2020-03-05,0,0,0.0,0,0,0.0
2020-03-06,0,0,0.0,0,0,0.0
2020-03-07,0,0,0.0,0,0,0.0
2020-03-08,0,0,0.0,0,0,0.0
2020-03-09,0,0,0.0,0,0,0.0
2020-03-10,1,1,0.0,0,0,0.0
2020-03-11,1,0,0.0,0,0,0.0
2020-03-12,1,0,0.0,0,0,0.0
2020-03-13,3,2,0.0,0,0,0.0
2020-03-14,4,1,0.0,0,0,0.0
2020-03-15,4,0,0.0,0,0,0.0
2020-03-16,10,6,0.0,0,0,0.0
2020-03-17,19,9,0.0,0,0,0.0
2020-03-18,34,15,0.0,0,0,0.0
2020-03-19,44,10,0.0,0,0,0.0
2020-03-20,67,23,0.0,0,0,0.0
2020-03-21,85,18,0.01,0,0,0.0
2020-03-22,96,11,0.01,0,0,0.0
2020-03-23,175,79,0.01,0,0,0.0
2020-03-24,252,77,0.02,0,0,0.0
2020-03-25,342,90,0.02,1,1,0.29
2020-03-26,475,133,0.03,1,0,0.21
2020-03-27,637,162,0.04,2,1,0.31
2020-03-28,803,166,0.05,5,3,0.62
2020-03-29,890,87,0.06,8,3,0.9
2020-03-30,1072,182,0.07,8,0,0.75
2020-03-31,1315,243,0.08,10,2,0.76
2020-04-01,1675,360,0.11,10,0,0.6
2020-04-02,2100,425,0.13,13,3,0.62
2020-04-03,2430,330,0.15,14,1,0.58
2020-04-04,3008,578,0.19,24,10,0.8
2020-04-05,3189,181,0.2,28,4,0.88
2020-04-06,3728,539,0.24,45,17,1.21
2020-04-07,4272,544,0.27,65,20,1.52
2020-04-08,4777,505,0.3,87,22,1.82
2020-04-09,5029,252,0.32,87,0,1.73
2020-04-10,5521,492,0.35,110,23,1.99
2020-04-11,6022,501,0.38,137,27,2.27
2020-04-12,6386,364,0.4,176,39,2.76
2020-04-13,6813,427,0.43,190,14,2.79
2020-04-14,7130,317,0.45,206,16,2.89
2020-04-15,7441,311,0.47,222,16,2.98
2020-04-16,8045,604,0.51,264,42,3.28
2020-04-17,8563,518,0.54,298,34,3.48
2020-04-18,9014,451,0.57,342,44,3.79
2020-04-19,9214,200,0.58,365,23,3.96
2020-04-20,9553,339,0.6,370,5,3.87
2020-04-21,10028,475,0.63,394,24,3.93
2020-04-22,10588,560,0.63,394,0,3.93
2020-04-23,11226,638,0.71,443,49,3.95
2020-04-24,11877,651,0.75,449,6,3.78
2020-04-25,12307,430,0.75,449,0,3.78
2020-04-26,12566,259,0.79,472,23,3.76
2020-04-27,12868,302,0.81,484,12,3.76
2020-04-28,13445,577,0.85,516,32,3.84
2020-04-29,13803,358,0.87,541,25,3.92
2020-04-30,14468,665,0.91,541,0,3.74
2020-05-01,15137,669,0.96,638,97,4.21
2020-05-02,15538,401,0.96,638,0,4.21
2020-05-03,15778,240,0.96,638,0,4.21
2020-05-04,16040,262,1.01,726,88,4.53
2020-05-05,16410,370,1.04,743,17,4.53
2020-05-06,16697,287,1.05,803,60,4.81
2020-05-07,17047,350,1.08,816,13,4.79
2020-05-08,17517,470,1.11,875,59,5.0
2020-05-09,17881,364,1.13,891,16,4.98
2020-05-10,18211,330,1.15,894,3,4.91
2020-05-11,18313,102,1.16,893,-1,4.88
2020-05-12,18537,224,1.17,908,15,4.9
