date,q_0.10,q_0.25,q_0.50,q_0.75,q_0.90
2020-02-01,-204.27356827467247,-266.04550907433713,-311.4562756397827,-375.13892652253435,-411.6549407898701
2020-02-02,-140.09338749848848,-176.2196073537616,-232.76889974262758,-299.1899769784786,-339.3394888763223
2020-02-03,124.87306397725206,49.77134852711788,-20.257085710031788,-80.61700780699266,-118.04090758632901
2020-02-04,130.25593155563274,73.2099954547266,0.46742906962754205,-59.786588571604625,-108.34970132643593
2020-02-05,-31.083696085617703,-82.63250254706873,-141.1605925775093,-205.0015445899453,-231.75567122141183
2020-02-06,41.79964879575709,-36.51190280752871,-100.14307945450673,-171.3515779925483,-210.857673312089
2020-02-07,227.62841778169877,172.5671793776237,99.57134275956287,29.802310750561446,-28.639403875970856
2020-02-08,-66.0080719235948,-114.95833132308962,-164.1799309472235,-223.9606888467806,-263.68475124824454
2020-02-09,53.556778694871355,-11.979658005137935,-72.88389729265509,-135.178123913126,-183.19653539422325
2020-02-10,30.48078904506292,-42.910450360929644,-107.05285062342227,-186.52600794622776,-231.91048297314137
2020-02-11,20.785953917386905,-6.912238953335873,-60.521927491095084,-122.89064961669919,-172.13509407553647
2020-02-12,-14.735250800342328,-80.33740510684675,-153.44594077936745,-215.31876857949464,-263.7293916055196
2020-02-13,54.224410886356964,-13.687838548921718,-59.067369264950685,-104.67786900757619,-155.81685748756354
2020-02-14,-25.48742215161019,-78.19865584401578,-139.3235748074503,-185.9543507195158,-221.11613627689712
2020-02-15,-172.83530841321226,-229.67578914130718,-311.3616097189488,-388.29479323198484,-443.98670031184156
2020-02-16,125.5098216891165,69.07398842927523,5.263128148399119,-49.49011709835031,-91.43378348097121
2020-02-17,347.6631267701582,235.52055925420973,80.08138421511921,-37.34032198226214,-111.95482550327142
2020-02-18,152.12817136871217,100.76658859765848,39.443595645875575,-26.6176558799325,-53.832179497786456
2020-02-19,46.54419467128355,-7.423108747647348,-84.47140451666019,-129.83343698262252,-171.34506464018887
2020-02-20,-18.625791887172454,-84.41026474816681,-140.65287468254883,-204.27271838201614,-257.18615897055497
2020-02-21,-10.357511569627604,-68.52932158230396,-149.32613038867476,-204.70158308050213,-258.25678020865234
2020-02-22,99.93079085730369,19.53068485800941,-62.95169707385867,-124.03908499113368,-177.41521077892958
2020-02-23,104.60261403266077,59.89395521325105,-11.239206131058381,-85.25952437575779,-180.62449246585402
2020-02-24,76.63734645197565,15.352358145373728,-68.93623247218602,-150.06122242068705,-215.1825006590725
2020-02-25,-134.42674677991454,-172.8396393123694,-245.7785790060234,-301.9500562758212,-358.32111348692706
2020-02-26,-92.18669532804961,-152.39056327001344,-205.3730131122602,-248.62865875795796,-316.4024531508185
2020-02-27,-105.5492450103884,-170.39961448769827,-243.0664712507023,-311.2670397563634,-364.4917215875239
2020-02-28,65.12293167457574,15.869810085594509,-50.01397805509532,-111.61959081796977,-187.41297983692493
2020-02-29,-172.58054528204957,-238.4509200051889,-290.5585770587013,-365.9165056475658,-397.91979817176525
2020-03-01,72.30327590079924,10.813166262953018,-84.854546148581,-168.92410281648336,-198.26913955090276
2020-03-02,269.4595856104602,192.5880562976272,121.7358134887827,33.28299919908568,-35.16466251080965
2020-03-03,3.847481967281965,-44.113636837422746,-96.85129590859287,-154.56179118515865,-205.45777006992557
2020-03-04,108.11803582499851,55.78876508047597,-4.080279276107831,-69.4553719747455,-123.98088127388746
2020-03-05,20.434093770517393,-34.41068806675594,-99.08111985911273,-150.80303267265936,-202.0067091139381
2020-03-06,-69.77700412782997,-133.16315128654605,-188.26808399715264,-235.49124276176735,-307.3365062111925
2020-03-07,-61.56381962854084,-124.6581745214562,-211.36131302325157,-276.1749050887729,-344.82927531793575
2020-03-08,144.54584241210796,76.83573662505796,5.613151785411446,-69.69905324779666,-152.83841843820892
2020-03-09,163.05043346020557,55.6881356523636,-23.941296006885295,-147.7527914428215,-212.63774932592378
2020-03-10,74.5430763210461,19.87468949739514,-51.84431251173737,-128.3525173091989,-183.72873047461462
2020-03-11,-46.84461584990504,-107.01588058435163,-165.8455808466665,-229.32605202910236,-273.244016430026
2020-03-12,-4.072995497640932,-44.64091131865234,-83.91148363142429,-146.60381101592748,-194.56465519527546
2020-03-13,192.81978450659517,125.45369990955032,57.0036491437163,-23.972175831551795,-93.33886722077796
2020-03-14,-133.02658327922745,-181.39147904084712,-267.1407269934316,-356.85055539181394,-449.3093734939812
2020-03-15,-255.1430333311091,-292.334937576486,-347.6840076461208,-413.4689797337883,-495.87328463965696
2020-03-16,-285.1581938398908,-337.2721489478804,-397.5331071620144,-444.211853183559,-516.8910880883927
2020-03-17,-86.14889758507798,-139.93628401044953,-196.27259624312046,-247.0522129963574,-296.4595520262719
