date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,23.23,21.82,20.16,20.0,20.24,21.45,24.35,24.06,25.48,24.94,28.0,25.06,23.71,23.25,24.0,23.22,22.94,41.98,34.99,24.97,24.28,23.23,20.2,17.93
2017-01-02,17.54,17.54,17.12,16.58,15.83,15.83,15.89,17.06,18.52,21.81,23.53,24.07,24.8,24.14,24.89,22.3,23.38,50.76,29.99,24.28,23.88,22.93,18.28,14.78
2017-01-03,11.05,9.15,9.68,13.01,16.95,21.02,23.8,23.89,26.62,24.92,25.0,25.04,25.62,25.05,25.09,23.2,23.93,40.72,36.66,27.19,25.04,24.84,24.25,21.88
2017-01-04,21.41,20.85,21.0,22.26,22.83,24.7,44.0,35.0,29.97,28.15,25.97,24.78,24.72,23.55,22.69,21.95,23.47,34.25,31.36,27.61,24.07,23.25,22.46,20.4
2017-01-05,19.91,19.68,19.63,20.11,21.06,22.93,33.89,30.95,26.54,25.23,23.68,23.44,23.08,23.05,22.52,22.06,22.7,34.36,30.38,27.33,26.08,24.14,23.26,23.51
2017-01-06,20.42,20.12,20.17,20.66,21.2,24.41,33.76,35.05,30.38,29.07,33.52,29.41,26.97,25.55,24.96,24.22,25.78,55.25,48.55,38.29,34.88,32.44,26.69,24.17
2017-01-07,28.0,26.96,26.74,27.0,28.0,34.25,44.21,48.15,96.37,75.0,43.94,35.05,27.83,24.0,22.87,22.44,23.79,35.88,40.89,34.6,28.74,26.45,24.29,21.9
2017-01-08,21.74,21.32,21.2,21.06,21.66,23.25,27.36,40.35,34.39,29.92,25.96,24.14,23.01,20.85,19.93,19.72,19.91,30.22,29.58,27.61,25.13,23.73,21.17,20.4
2017-01-09,19.99,19.75,19.64,19.72,19.63,22.73,37.85,38.5,25.75,22.95,22.14,22.87,22.16,22.72,21.35,19.33,18.23,25.61,20.29,19.51,19.61,18.58,14.33,10.53
2017-01-10,8.85,8.45,7.59,8.49,9.0,14.47,20.94,18.0,18.24,19.69,20.03,21.0,21.44,22.99,20.31,21.71,22.08,37.8,27.61,20.53,20.37,19.17,18.96,17.6
2017-01-11,4.19,2.36,2.19,2.02,2.95,7.73,17.32,19.14,18.83,21.05,21.7,21.54,21.08,21.31,19.19,18.89,16.98,27.08,23.72,20.39,20.53,18.48,17.0,10.0
2017-01-12,6.8,5.7,6.21,9.62,14.97,18.71,23.13,24.64,24.27,24.34,23.98,27.28,24.73,27.17,24.6,24.49,25.82,42.01,30.02,23.53,21.75,21.0,21.47,20.54
2017-01-13,19.56,18.55,18.15,18.05,18.6,21.03,25.0,24.64,23.68,24.29,26.0,25.74,25.16,25.88,25.68,24.5,25.19,36.88,30.75,25.25,23.86,23.48,21.73,21.47
2017-01-14,25.92,22.28,21.13,20.51,20.51,20.76,22.16,22.97,24.44,27.0,29.86,32.0,27.67,24.11,24.53,23.24,24.0,37.08,32.11,25.95,24.95,21.72,21.73,22.22
2017-01-15,22.84,19.83,17.44,17.27,16.97,15.68,19.59,20.03,21.77,22.95,23.11,23.68,23.11,22.96,22.84,23.25,20.54,33.44,48.74,24.14,22.31,20.66,19.43,17.78
2017-01-16,23.05,20.0,18.69,18.98,20.59,21.78,24.19,24.34,24.47,24.59,23.66,24.02,23.87,24.02,24.14,24.0,24.72,37.41,39.1,28.31,25.95,24.41,23.77,22.69
2017-01-17,20.46,19.79,19.68,19.4,19.83,21.43,25.66,23.03,23.44,23.69,22.68,22.15,22.52,21.79,21.34,21.31,22.53,39.78,43.68,31.73,29.57,25.14,24.0,23.45
2017-01-18,21.68,20.45,20.3,20.43,21.1,23.39,30.58,26.59,26.16,25.9,27.0,25.26,24.6,23.05,21.51,21.16,20.55,26.84,25.81,22.18,21.87,21.94,21.65,20.93
2017-01-19,17.01,15.42,14.02,14.23,16.74,18.7,24.28,23.69,20.71,20.57,18.43,17.2,16.26,16.25,14.0,14.33,15.97,34.2,29.26,19.17,19.22,17.87,16.59,10.5
2017-01-20,11.34,8.4,7.21,7.76,12.77,17.11,25.42,24.46,23.97,22.62,19.36,18.48,18.25,18.34,17.15,17.68,17.1,28.36,25.57,20.28,19.94,19.19,18.27,16.19
2017-01-21,17.74,16.85,14.58,14.22,15.92,17.41,20.1,20.79,20.0,21.29,20.48,20.33,18.64,18.34,17.03,17.39,17.29,23.91,24.79,20.35,19.65,19.65,18.12,16.82
2017-01-22,13.96,9.99,8.22,8.61,8.44,8.71,16.92,19.24,20.04,21.29,20.94,21.94,21.3,21.64,21.05,21.28,22.83,35.02,38.8,30.0,26.13,25.06,23.63,23.14
2017-01-23,21.42,19.97,20.1,19.69,20.5,25.0,41.63,38.0,26.4,24.77,23.08,21.97,19.98,19.55,19.26,19.23,19.66,33.0,27.59,22.44,21.62,20.53,18.0,16.33
2017-01-24,5.3,4.99,5.67,5.81,6.71,14.81,20.96,22.17,21.17,20.96,18.29,17.81,17.01,17.03,16.5,17.11,18.49,31.02,25.68,20.36,19.89,19.49,18.77,18.18
2017-01-25,17.89,17.67,17.73,18.28,19.5,20.28,31.43,28.02,26.24,25.44,23.99,24.03,22.19,22.01,20.84,21.1,21.13,38.59,35.98,27.51,27.48,24.86,23.0,22.79
2017-01-26,19.53,19.21,19.23,19.54,20.31,22.93,42.37,34.77,29.57,25.61,24.86,23.62,23.11,22.06,21.37,21.09,21.83,28.43,31.73,29.43,27.84,25.12,23.0,22.73
2017-01-27,21.54,20.82,20.77,21.33,22.22,23.26,43.92,33.42,27.66,25.89,24.65,23.74,23.57,22.09,20.97,20.92,20.96,25.38,28.68,27.1,25.0,23.65,23.45,22.54
2017-01-28,22.96,21.42,20.71,20.57,20.48,23.01,26.99,31.29,30.41,30.49,29.07,24.83,20.95,19.99,19.46,19.23,19.78,30.52,34.71,27.8,24.64,23.86,22.84,22.91
2017-01-29,20.05,19.16,19.28,19.48,19.46,20.19,25.37,30.57,31.04,28.03,26.39,21.97,20.18,19.7,19.01,19.19,19.78,30.2,37.41,28.01,25.45,24.86,22.07,22.08
2017-01-30,19.19,18.88,19.11,19.63,20.28,22.91,37.86,35.02,28.26,26.93,23.95,22.45,21.16,20.13,20.01,19.68,19.78,24.48,27.88,23.01,22.78,22.67,18.42,17.12
2017-01-31,14.95,14.71,15.31,17.39,18.56,21.69,32.29,24.73,22.66,23.04,21.81,21.84,20.53,20.33,19.93,19.51,19.37,29.76,30.76,20.78,21.63,20.2,19.0,17.76
2017-02-01,12.0,10.95,11.89,14.99,17.08,19.0,26.29,23.02,22.47,23.92,23.54,24.05,23.55,25.3,24.73,22.01,21.86,26.64,31.92,22.22,21.55,21.63,20.21,19.96
2017-02-02,17.88,17.52,17.52,17.78,18.73,20.11,24.37,24.63,24.07,24.72,23.26,22.74,22.57,21.89,21.35,23.51,23.88,30.06,41.53,28.34,26.19,24.96,24.24,22.87
2017-02-03,21.22,20.68,18.85,18.92,19.35,24.4,45.0,36.54,35.59,28.71,24.86,23.81,23.54,23.47,22.63,21.45,21.11,32.34,35.95,23.39,23.49,24.22,22.58,22.47
2017-02-04,21.61,20.5,20.49,20.06,20.07,20.97,22.73,24.45,27.48,33.61,26.36,23.51,22.71,21.82,19.94,19.5,19.35,25.69,29.34,21.97,21.02,19.88,18.22,17.47
