date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,23.36,21.46,20.74,20.27,20.12,19.78,19.73,19.74,19.26,19.76,20.38,20.59,19.96,19.76,19.56,19.39,19.46,20.11,20.06,19.44,18.97,18.24,10.37,6.16
2017-01-02,17.53,16.8,16.91,3.85,9.89,10.68,17.19,18.16,18.52,19.46,19.81,19.82,19.94,19.85,20.03,21.15,21.98,66.33,24.49,21.76,20.88,20.02,19.45,18.06
2017-01-03,14.34,16.9,8.72,13.55,18.32,19.4,22.08,23.04,23.54,20.4,21.43,23.47,24.43,28.86,28.78,28.24,29.14,262.88,51.86,28.2,123.19,26.16,25.91,36.46
2017-01-04,92.51,28.06,27.95,26.52,23.58,22.02,28.02,59.16,84.15,32.17,31.48,34.54,27.91,29.08,27.0,23.52,22.68,26.4,25.8,26.01,28.62,25.82,26.24,20.92
2017-01-05,20.24,20.07,20.15,20.16,21.57,21.65,22.91,23.62,22.4,21.28,21.46,21.84,20.56,19.7,19.43,20.02,22.67,28.99,35.0,27.49,26.61,21.66,20.32,20.14
2017-01-06,19.86,19.63,19.93,20.06,21.46,29.06,28.68,32.01,30.54,27.5,28.0,24.93,23.79,24.56,26.28,24.45,25.65,43.13,42.31,38.95,40.7,32.46,33.04,29.7
2017-01-07,29.73,29.23,29.66,32.56,36.44,36.7,38.24,56.08,57.54,53.53,38.22,33.65,27.56,23.61,21.66,21.06,21.16,22.64,25.62,25.31,23.98,22.76,22.64,22.02
2017-01-08,20.06,20.89,20.3,20.6,21.1,22.09,23.81,23.06,23.4,21.55,20.27,20.21,20.1,19.49,18.99,18.41,18.93,20.72,21.36,20.19,19.59,19.12,20.12,19.56
2017-01-09,20.56,20.5,20.06,21.0,22.08,27.15,41.26,31.02,24.89,23.16,20.87,18.88,17.92,17.34,16.61,16.44,16.41,18.85,22.67,19.58,17.02,16.6,8.02,-0.73
2017-01-10,-1.35,-13.61,-11.48,-6.44,-1.3,3.04,19.12,17.88,18.28,19.3,20.53,19.94,19.76,19.9,20.28,20.6,20.2,23.58,21.97,19.73,19.23,18.14,10.19,4.42
2017-01-11,-0.96,-0.62,-0.67,-0.74,-0.73,9.18,16.18,16.9,16.86,18.32,8.2,17.03,17.23,16.88,16.84,15.4,17.85,19.63,18.36,19.15,19.62,17.83,12.98,2.36
2017-01-12,-0.12,-0.34,-0.41,0.3,16.43,19.31,84.43,23.56,24.7,25.77,24.03,26.26,28.17,31.4,27.04,22.1,20.34,20.86,21.08,22.2,22.16,20.84,21.04,21.15
2017-01-13,20.44,19.8,19.72,19.66,19.62,20.43,20.4,20.44,20.16,21.0,22.02,23.61,25.08,26.05,23.14,22.83,23.44,86.22,27.62,30.0,91.79,122.82,24.81,127.62
2017-01-14,482.9,31.34,24.35,24.68,26.65,162.12,24.14,24.68,52.27,71.54,33.97,35.44,70.22,37.71,34.14,32.42,30.32,40.52,60.59,35.06,34.28,30.56,77.96,96.82
2017-01-15,61.98,186.62,25.72,27.27,35.83,154.96,35.25,34.94,36.18,35.85,21.79,22.2,25.27,28.82,26.95,24.86,21.97,26.56,24.2,29.36,22.66,21.36,23.61,20.54
2017-01-16,19.23,18.87,19.08,19.51,19.76,20.42,21.36,21.29,20.82,21.8,22.5,22.12,21.68,21.26,21.35,21.62,21.88,22.78,26.38,23.83,21.8,20.75,19.63,18.04
2017-01-17,17.35,13.48,16.89,16.9,17.4,19.22,20.64,21.1,20.96,21.7,21.3,21.9,21.8,22.12,22.04,21.5,22.32,82.0,31.31,29.35,24.26,21.8,21.2,20.86
2017-01-18,19.9,19.98,19.86,19.8,19.8,20.15,125.0,37.7,30.27,31.6,33.9,27.91,24.26,24.36,21.94,21.38,21.53,23.85,24.82,22.64,21.78,20.01,19.9,19.69
2017-01-19,19.57,18.66,18.2,18.07,18.53,19.72,24.71,22.64,21.2,25.02,20.88,19.9,19.41,17.5,19.54,19.18,20.36,22.16,26.01,21.74,21.64,21.0,19.05,16.96
2017-01-20,15.17,12.51,12.86,12.5,14.44,19.38,20.53,20.09,21.22,21.65,20.12,17.54,16.12,14.6,13.92,14.83,17.81,21.28,22.19,23.86,23.1,24.16,86.4,22.25
2017-01-21,22.74,22.76,21.85,21.67,21.83,22.67,145.64,29.52,91.76,238.37,24.5,23.82,21.47,18.55,14.72,11.62,13.14,18.9,19.93,20.44,20.15,18.0,15.11,10.84
2017-01-22,10.56,6.51,2.38,0.05,1.32,4.57,8.89,9.3,11.85,15.85,15.89,16.39,18.42,18.06,16.14,10.24,15.81,19.31,21.65,21.61,21.49,20.48,19.34,19.39
2017-01-23,19.2,19.24,19.61,19.76,20.07,21.97,27.48,22.57,21.32,21.2,21.82,21.11,19.28,17.65,17.47,17.87,19.04,21.78,21.62,19.44,18.68,15.28,13.48,11.96
2017-01-24,12.45,10.34,10.56,11.53,13.12,16.25,18.94,19.66,18.73,20.01,19.84,19.74,18.36,20.23,21.31,20.79,20.58,18.53,20.39,19.75,18.13,18.1,17.44,16.92
2017-01-25,17.35,16.58,18.46,18.91,19.76,20.44,22.2,22.22,22.09,21.9,20.76,20.91,21.0,20.77,20.57,20.59,19.95,20.76,22.22,24.15,21.34,21.12,21.36,20.98
2017-01-26,20.65,20.8,20.77,20.62,20.99,20.96,22.72,23.37,23.22,23.15,21.72,21.6,21.79,21.68,21.25,20.97,21.02,21.62,23.0,22.78,21.74,21.98,21.91,21.8
2017-01-27,21.35,21.24,21.03,21.54,21.65,21.71,23.88,24.7,23.18,23.21,22.32,21.33,21.18,20.92,20.96,20.81,20.96,23.46,40.92,31.63,25.0,22.73,22.1,21.79
2017-01-28,20.52,19.96,19.64,20.43,19.89,20.03,20.6,22.01,22.36,23.81,23.72,22.22,20.84,19.72,18.96,17.99,17.35,19.52,23.02,22.28,22.95,23.62,21.86,20.51
2017-01-29,20.07,19.62,19.38,19.07,19.52,19.99,20.46,21.46,21.91,24.88,22.01,19.84,19.41,18.96,18.38,18.18,18.75,20.54,22.17,21.73,20.75,19.98,19.66,18.73
2017-01-30,18.32,18.03,17.97,18.4,19.14,20.86,25.16,24.62,22.35,22.85,26.2,22.06,20.96,20.36,19.87,19.58,19.27,20.26,23.05,21.6,21.44,20.42,18.13,6.27
2017-01-31,8.61,10.44,8.29,17.04,18.25,19.95,21.24,21.68,21.79,22.58,22.01,21.8,21.33,21.16,21.24,20.89,20.15,20.07,20.38,19.27,18.47,16.89,16.74,2.3
2017-02-01,0.89,0.73,0.69,3.05,9.83,12.07,16.06,17.83,18.5,18.88,19.01,19.62,20.84,21.63,21.61,21.76,21.76,21.01,20.32,18.18,14.92,3.92,11.89,8.46
2017-02-02,1.63,0.1,6.38,3.46,4.22,5.08,16.46,18.03,19.26,19.04,21.14,22.44,25.34,23.13,22.73,22.6,23.49,28.86,131.61,26.17,27.06,24.38,21.06,19.48
2017-02-03,19.35,18.85,18.7,18.91,19.86,20.76,22.16,23.15,22.54,22.46,22.21,21.54,21.47,20.89,20.42,20.3,20.4,21.39,25.76,23.23,22.74,22.71,22.09,21.44
2017-02-04,19.83,19.72,19.7,19.4,19.93,20.05,20.56,21.44,22.51,22.33,22.02,22.46,22.5,21.14,20.17,19.26,19.66,21.72,23.42,20.96,21.02,20.72,20.79,20.97
2017-02-05,18.65,18.23,18.74,18.63,19.0,19.92,19.28,20.37,22.09,34.86,25.54,26.33,26.7,23.48,22.06,21.67,21.0,20.67,20.69,18.98,17.68,17.03,18.66,11.82
2017-02-06,6.85,3.3,7.58,3.4,7.0,15.24,18.12,17.96,17.77,18.21,18.27,18.28,18.06,17.42,16.48,16.33,18.1,18.86,19.45,17.6,17.52,16.41,18.81,16.28
2017-02-07,14.54,12.14,12.1,11.77,12.39,12.68,16.11,15.07,15.32,17.57,19.02,20.0,20.45,23.61,20.66,20.76,20.19,20.2,20.31,19.12,17.45,14.24,7.58,13.16
2017-02-08,11.12,9.36,6.21,4.47,7.47,4.04,14.03,10.07,13.85,16.51,13.35,16.43,10.89,-0.38,-5.24,-6.06,-5.33,13.36,18.88,19.47,22.02,20.4,19.56,18.62
2017-02-09,18.81,18.66,18.77,18.84,19.29,19.92,28.42,23.61,26.38,25.52,21.47,20.39,19.46,18.66,18.1,17.78,18.05,18.41,18.98,18.22,15.93,14.45,16.08,15.83
2017-02-10,16.41,15.37,15.19,16.08,15.14,14.54,18.77,18.85,18.62,19.03,18.32,18.28,18.38,18.2,18.42,18.17,18.1,18.3,18.35,15.6,13.16,12.92,11.73,15.35
2017-02-11,10.74,10.32,6.73,6.19,6.85,5.54,13.88,15.26,16.82,18.29,19.12,19.44,19.99,20.37,20.38,20.48,20.41,20.5,20.33,19.26,18.98,17.38,16.77,17.15
2017-02-12,17.88,17.11,17.27,17.59,11.01,9.98,11.06,11.78,14.17,14.2,17.57,16.58,17.11,17.18,16.05,14.02,9.53,10.67,17.54,19.54,18.69,17.89,16.62,16.61
2017-02-13,17.69,16.83,16.82,16.84,17.6,20.05,21.41,21.68,21.13,21.1,21.15,20.84,20.7,21.71,23.59,20.93,20.65,20.61,21.98,20.77,20.05,19.57,20.14,20.1
2017-02-14,20.27,20.06,18.73,18.61,19.55,20.27,134.26,20.94,20.8,19.12,18.37,18.11,18.25,18.09,17.28,16.17,17.14,18.2,21.42,23.1,24.26,21.65,21.06,21.09
2017-02-15,19.4,18.1,17.36,17.07,17.08,17.62,19.29,19.62,19.69,50.03,20.75,20.23,18.73,18.35,18.37,18.49,19.29,20.49,25.85,25.35,24.68,21.46,20.52,18.36
2017-02-16,17.45,17.01,16.94,16.88,17.3,19.2,25.44,22.15,20.13,22.3,23.54,20.56,20.74,20.54,20.2,20.03,19.37,19.33,20.31,19.55,16.88,15.03,12.69,16.15
2017-02-17,14.57,14.38,14.52,15.54,14.51,15.51,21.08,19.51,21.32,77.59,23.44,20.65,20.46,21.12,21.67,23.59,23.34,70.29,125.98,21.87,19.29,17.8,18.1,16.92
2017-02-18,17.2,16.94,17.51,18.59,18.66,18.5,17.19,17.92,19.75,20.92,24.06,26.36,26.59,24.9,31.28,26.07,29.38,29.58,23.51,23.86,21.75,19.92,21.26,19.45
2017-02-19,17.45,16.21,12.21,10.84,9.96,8.9,9.97,4.44,15.63,16.9,17.55,19.09,20.6,20.69,19.97,18.51,18.34,17.46,18.24,19.67,18.97,19.19,190.44,25.82
2017-02-20,18.71,17.98,17.24,6.74,3.69,12.06,15.87,16.1,17.02,18.59,18.43,17.87,17.72,16.84,14.56,16.46,15.99,16.91,19.42,19.34,18.77,18.48,18.63,17.74
2017-02-21,18.38,17.83,16.28,16.39,17.85,19.12,19.48,20.26,20.26,20.67,20.62,20.46,19.88,20.44,20.57,22.91,22.8,25.07,64.35,27.33,211.89,24.27,21.94,19.92
2017-02-22,16.01,15.11,13.82,8.61,13.67,16.52,17.35,17.29,16.3,17.66,18.41,18.51,20.15,21.54,30.28,37.75,27.64,25.11,24.76,22.38,22.5,19.72,17.9,15.18
2017-02-23,11.72,1.66,0.01,4.7,9.12,16.58,19.33,17.78,18.41,20.32,18.71,17.65,17.33,16.28,14.86,14.76,14.66,13.89,17.82,17.45,17.15,17.34,15.42,8.38
2017-02-24,12.81,12.48,10.9,8.07,5.14,3.63,11.33,13.74,15.42,16.82,19.11,19.74,20.3,20.48,20.5,20.64,20.56,19.79,19.48,18.39,15.06,1.53,3.18,12.84
2017-02-25,11.46,3.94,3.56,11.38,14.95,16.06,18.31,20.91,22.05,20.8,20.72,20.55,20.32,19.81,19.62,18.84,18.32,18.09,20.37,18.14,16.86,16.69,14.12,15.26
2017-02-26,13.68,12.53,10.76,12.9,14.46,15.9,15.1,16.15,17.94,19.03,20.11,22.14,23.26,22.2,21.81,20.66,20.69,24.15,141.3,26.56,24.61,21.76,20.3,19.84
2017-02-27,18.59,17.81,18.09,18.63,19.14,20.0,19.5,19.0,20.29,21.59,20.41,18.99,17.66,15.18,11.7,10.9,14.43,17.55,20.39,20.52,19.52,15.96,13.84,9.55
2017-02-28,13.04,9.84,8.74,8.69,8.95,12.7,15.68,14.81,17.0,18.77,20.35,20.84,19.13,17.82,18.5,19.24,20.88,19.15,18.04,17.05,14.36,11.74,15.18,13.22
2017-03-01,13.8,6.96,-0.06,-0.17,-1.66,1.34,11.31,15.56,16.28,3.95,4.62,6.76,11.15,15.84,17.58,18.22,18.16,18.09,19.14,20.02,19.1,18.14,17.5,15.33
2017-03-02,14.76,14.47,14.4,14.71,15.82,18.36,20.12,19.19,18.42,17.98,17.07,17.78,18.55,19.02,19.74,19.79,19.69,19.8,22.33,20.99,20.12,18.04,17.99,15.98
2017-03-03,14.5,14.04,14.12,14.25,14.88,16.02,19.14,18.12,19.27,18.74,17.53,16.99,17.72,17.97,16.86,16.67,17.49,19.19,25.19,20.49,17.26,16.16,12.16,13.05
2017-03-04,14.82,15.85,15.92,17.36,17.06,15.6,17.48,18.49,19.94,19.56,18.45,18.32,18.19,17.37,16.26,16.1,17.78,18.08,21.12,18.76,18.17,16.38,12.42,14.51
2017-03-05,13.99,12.6,14.71,15.2,16.29,17.76,17.98,18.86,19.53,19.72,21.48,82.2,26.62,30.61,22.74,19.87,18.98,18.55,21.74,18.81,17.11,13.36,9.62,13.28
2017-03-06,13.76,12.19,9.79,9.64,9.57,8.08,15.73,15.89,15.17,13.56,12.16,14.81,13.26,15.62,19.55,17.86,18.57,19.22,24.6,21.36,19.63,19.3,17.05,17.06
2017-03-07,19.07,21.65,18.04,14.74,11.01,7.1,15.84,17.71,18.41,16.1,17.67,19.76,20.5,23.04,23.83,23.6,22.75,21.62,23.07,21.75,20.66,19.31,18.75,16.94
2017-03-08,17.59,15.48,14.65,14.93,17.37,19.19,18.8,18.33,18.12,18.45,17.32,18.86,18.85,19.99,19.8,19.98,20.9,31.83,50.0,21.06,18.7,17.43,15.7,13.87
2017-03-09,13.71,13.9,13.73,14.16,7.09,14.19,18.27,18.59,19.74,19.85,27.45,30.02,40.99,35.39,26.92,37.53,53.49,39.95,119.56,38.94,26.58,20.22,19.21,17.86
2017-03-10,16.38,16.11,16.2,15.99,16.42,17.73,18.79,18.98,19.04,19.55,19.87,20.48,21.53,24.32,24.02,22.0,21.21,20.91,21.34,22.49,21.24,20.53,21.14,20.13
2017-03-11,22.63,21.35,19.83,19.68,20.47,21.5,21.92,21.72,32.01,36.26,101.68,66.72,37.69,27.82,22.32,20.06,17.76,7.75,15.4,18.63,17.48,17.46,17.67,18.24
2017-03-12,17.91,17.19,,17.3,17.5,17.52,18.45,18.77,19.32,20.08,20.48,20.87,19.86,19.7,19.12,18.3,17.75,17.41,17.38,18.25,19.24,18.98,18.96,18.67
2017-03-13,19.45,20.38,19.83,19.97,19.98,19.69,19.34,19.18,19.11,20.02,19.82,20.17,19.91,19.93,19.8,19.66,19.69,19.71,19.89,21.38,22.22,20.68,20.44,19.61
