date,kind,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,dwpc,-1.72,-1.72,-1.72,-1.11,-1.11,-1.11,-1.11,-1.72,-0.61,0.0,0.0,0.61,1.11,1.72,2.78,3.28,3.89,3.89,3.89,4.39,7.22,7.78,8.28,8.89
2017-01-01,relh,64.49,72.24,77.88,72.93,69.85,69.85,75.56,72.24,69.96,62.21,51.89,44.92,40.43,37.81,37.99,36.82,39.67,49.26,54.7,65.38,68.93,76.75,79.4,80.07
2017-01-01,sped,9.11,8.4,8.85,7.61,6.81,4.07,5.13,4.51,4.6,2.57,4.07,6.9,10.44,9.82,10.35,9.47,10.35,8.23,7.17,9.38,11.06,9.2,8.49,9.02
2017-01-01,tmpc,4.39,2.78,1.72,3.28,3.89,3.89,2.78,2.78,4.39,6.72,9.39,12.22,14.39,16.11,17.22,18.28,17.78,14.39,12.78,10.61,12.78,11.72,11.72,12.22
2017-01-02,dwpc,8.89,11.72,9.75,8.89,8.89,8.89,8.28,6.72,8.28,7.78,7.78,5.61,4.39,4.39,3.28,2.22,3.28,2.78,2.78,2.78,2.78,2.78,3.28,3.28
2017-01-02,relh,89.09,90.29,90.54,92.8,92.8,89.09,85.48,93.03,85.48,71.6,61.98,46.34,39.82,37.14,33.07,30.69,36.82,40.77,48.95,54.21,58.36,54.21,54.34,60.46
2017-01-02,sped,7.61,11.98,7.9,8.76,8.49,3.1,7.52,7.34,9.47,12.74,13.99,13.71,14.51,10.08,11.41,12.65,12.3,6.19,6.37,6.63,8.58,10.97,12.12,12.21
2017-01-02,tmpc,10.61,13.28,11.25,10.0,10.0,10.61,10.61,7.78,10.61,12.78,15.0,17.22,18.28,19.39,20.0,20.0,18.28,16.11,13.28,11.72,10.61,11.72,12.22,10.61
2017-01-03,dwpc,3.28,3.28,3.89,2.78,2.22,2.22,2.48,3.03,2.78,2.22,1.42,-0.61,-2.78,-3.28,-4.14,-5.61,-6.11,-6.72,-6.72,-8.28,-8.89,-10.0,-10.0,-9.39
2017-01-03,relh,65.62,70.73,73.85,75.93,88.87,88.87,88.27,87.1,79.19,76.12,77.62,69.96,61.78,55.07,53.69,52.13,49.12,51.61,51.61,49.55,48.98,46.92,49.05,51.47
2017-01-03,sped,10.79,7.7,8.67,10.7,10.79,10.97,13.95,13.89,17.12,19.2,20.22,19.36,20.22,19.07,19.88,18.75,18.31,17.15,16.48,18.67,16.19,14.07,8.23,9.55
2017-01-03,tmpc,9.39,8.28,8.28,6.72,3.89,3.89,4.26,5.0,6.11,6.11,5.0,4.39,3.89,5.0,4.44,3.28,3.58,2.22,2.22,1.11,0.61,0.0,-0.61,-0.61
2017-01-04,dwpc,-10.61,-11.11,-11.11,-10.61,-11.11,-11.11,-11.72,-11.72,-11.72,-11.72,-10.61,-11.11,-11.11,-10.0,-10.61,-10.61,-10.0,-10.0,-10.61,-9.39,-8.28,-7.78,-7.78,-7.22
2017-01-04,relh,48.48,48.72,50.56,52.61,52.68,54.68,54.5,54.5,52.07,50.17,46.74,46.59,42.96,41.44,38.1,36.63,38.44,49.05,42.77,49.23,60.9,63.31,68.45,68.57
2017-01-04,sped,12.23,12.3,11.85,11.59,14.07,14.51,13.98,12.3,14.51,10.17,8.05,6.37,2.65,4.78,2.03,5.44,5.96,8.14,6.37,4.69,7.52,5.22,7.61,8.68
2017-01-04,tmpc,-1.11,-1.72,-2.22,-2.22,-2.78,-3.28,-3.89,-3.89,-3.28,-2.78,-0.61,-1.11,0.0,1.72,2.22,2.78,2.78,-0.61,0.61,0.0,-1.72,-1.72,-2.78,-2.22
2017-01-05,dwpc,-7.22,-6.72,-6.72,-6.72,-6.72,-8.89,-10.61,-10.61,-11.11,-11.11,-11.72,-12.78,-12.22,-11.72,-12.22,-12.78,-12.78,-13.28,-13.89,-14.39,-13.89,-13.89,-13.89,-13.89
2017-01-05,relh,68.57,71.25,71.25,74.25,77.06,68.2,61.83,59.55,54.68,48.72,44.37,44.23,44.58,48.15,46.25,44.23,50.07,52.27,54.12,51.95,54.12,52.1,52.1,52.1
