date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,23.36,21.47,20.74,20.27,20.12,19.79,19.72,19.74,19.26,19.86,20.38,20.59,19.96,19.76,19.56,19.39,19.46,20.11,20.06,19.44,18.97,18.24,10.37,6.16
2017-01-02,17.52,16.8,16.91,3.85,9.89,10.68,17.19,18.16,18.52,19.46,19.81,19.83,19.94,19.85,20.12,21.15,21.98,66.33,24.49,21.76,20.88,20.02,19.45,18.06
2017-01-03,14.34,16.9,8.72,13.55,18.32,19.4,22.08,20.36,23.44,20.24,21.47,25.19,25.84,29.66,29.56,27.31,28.58,262.88,51.86,28.2,123.19,26.16,25.91,36.46
2017-01-04,92.51,28.06,27.95,26.49,23.58,21.91,28.01,59.16,84.15,32.16,31.46,34.52,27.91,26.74,24.66,22.89,22.68,26.4,25.8,20.3,21.59,20.11,22.67,19.05
2017-01-05,19.53,19.98,20.14,20.11,21.42,21.6,22.91,23.61,22.4,21.28,19.52,17.76,19.76,19.66,18.43,15.55,17.1,20.07,23.71,20.63,20.3,20.42,19.91,20.06
2017-01-06,19.86,19.39,18.92,19.2,20.34,24.44,26.51,28.24,28.3,26.66,27.16,24.69,23.71,22.76,21.83,23.01,25.24,39.85,40.22,36.5,38.09,31.14,31.35,29.47
2017-01-07,29.55,29.04,29.56,32.47,35.24,36.6,39.46,57.52,56.56,53.24,38.22,33.65,27.56,23.61,21.66,21.06,21.16,22.64,25.62,25.31,23.98,22.06,19.98,19.63
2017-01-08,17.67,17.75,17.35,17.26,16.92,17.32,17.82,17.58,18.3,18.38,17.97,18.99,20.1,19.48,18.99,18.41,18.93,20.72,21.36,18.91,17.76,17.2,16.67,16.3
2017-01-09,20.16,20.51,19.54,17.62,17.59,21.05,28.66,23.06,20.21,19.42,20.44,16.68,15.88,14.94,13.35,13.11,12.8,15.04,16.92,14.77,12.75,12.82,6.96,-0.35
2017-01-10,-1.35,-13.61,-11.48,-6.45,-1.32,2.41,15.99,15.69,18.09,19.79,20.39,19.85,19.73,19.9,21.42,22.04,20.2,23.58,22.46,19.77,19.33,20.52,15.62,5.34
2017-01-11,2.49,-0.49,-0.66,-0.75,-0.04,13.54,19.56,18.02,18.8,21.66,145.33,21.72,20.58,21.7,19.32,20.38,19.9,22.65,23.28,19.72,19.76,17.93,12.58,1.86
2017-01-12,-0.15,-0.39,-0.43,0.27,16.29,19.19,84.36,23.43,24.61,25.62,23.76,26.12,28.16,31.4,27.04,22.1,20.34,20.86,21.08,22.2,22.16,20.84,21.04,21.15
2017-01-13,20.28,19.8,19.72,19.66,19.61,20.43,20.4,20.44,20.16,21.0,22.02,23.61,25.08,26.05,23.14,22.83,23.44,86.22,27.62,30.0,91.78,122.82,24.81,127.62
2017-01-14,482.9,31.34,24.35,24.68,26.44,162.12,24.14,24.68,52.27,71.54,33.92,35.4,70.22,37.71,34.14,32.42,30.36,40.58,60.67,35.11,34.33,30.6,78.06,96.97
2017-01-15,61.98,186.62,25.74,27.3,35.87,155.1,35.3,34.98,36.23,35.9,21.78,22.23,25.29,28.86,26.97,24.9,22.0,26.6,24.32,29.29,22.69,21.39,23.64,20.56
2017-01-16,19.26,18.89,19.08,19.51,19.76,20.42,21.36,21.29,20.82,21.8,22.5,22.12,21.68,21.29,21.38,21.64,21.89,22.78,26.38,23.83,21.8,20.75,19.63,18.04
2017-01-17,17.35,13.49,16.89,16.92,17.27,19.23,20.65,21.15,20.96,21.7,21.31,21.9,21.82,22.15,22.04,21.5,22.33,82.0,31.31,29.35,24.26,21.8,21.2,20.86
2017-01-18,19.9,19.98,19.85,19.81,19.82,20.15,125.0,37.7,30.27,31.6,33.9,27.91,24.26,24.36,21.94,21.39,21.53,23.85,24.82,22.64,21.78,20.02,19.91,19.7
2017-01-19,19.58,18.67,18.21,18.07,18.53,19.72,24.71,22.64,21.2,25.02,20.88,19.9,19.11,17.22,18.63,18.85,20.22,22.11,26.01,21.57,21.47,20.95,18.67,14.22
2017-01-20,12.35,9.11,9.37,9.06,10.92,16.74,20.75,20.08,21.15,21.65,21.34,20.81,20.43,20.39,19.4,19.78,20.62,23.14,23.77,24.11,23.29,24.19,88.86,22.26
2017-01-21,22.76,22.8,21.87,21.7,21.85,22.7,146.53,29.56,91.76,238.37,24.5,24.2,23.37,21.43,20.54,18.89,20.29,20.23,19.85,20.43,20.16,18.09,11.62,7.72
2017-01-22,6.36,2.95,0.7,-0.28,0.08,1.6,5.4,6.15,8.41,13.69,12.97,12.85,17.41,16.56,15.33,9.4,15.54,19.02,21.49,21.6,21.37,20.45,19.31,19.33
