date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-19,0.0,0.0,0.02,0.0,0.0,0.12,0.19,0.68,0.61,0.29,0.17,0.4,0.7,0.2,0.4,0.1,0.08,0.98,0.79,0.0,0.0,0.0,0.0,0.01
2017-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.11,0.12,0.03,0.18,0.03,0.01,0.01,0.03,0.0,0.0,0.16,0.21,0.06,0.03,0.02,0.38,0.0
2017-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.15,0.09,0.08,0.07,0.04,0.04,0.06,0.0,0.0,0.25,0.17,0.11,0.0,0.0,0.0,0.0
2017-01-23,0.0,0.0,0.0,0.0,0.02,0.18,0.24,0.18,0.3,0.42,0.17,0.37,0.19,0.32,0.11,0.0,0.33,0.39,0.4,0.35,0.15,0.0,0.0,0.0
2017-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.21,0.22,0.11,0.31,0.24,0.24,0.26,0.22,0.08,0.01,0.37,0.42,0.26,0.19,0.0,0.0,0.0
2017-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.02,0.0,0.03,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.16,0.2,0.13,0.18,0.06,0.08,0.07,0.05,0.05,0.16,0.3,0.36,0.13,0.02,0.0,0.0,0.0
2017-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.11,0.17,0.15,1.01,1.14,2.68,2.56,2.87,0.0,0.0,0.2,0.38,0.17,0.13,0.0,0.0,0.0
2017-01-28,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,3.78,6.96,5.05,5.49,5.14,5.28,0.03,0.0,0.16,0.16,0.0,0.0,0.0,0.0,0.0
2017-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.88,1.85,3.43,3.1,4.69,5.51,5.55,4.7,2.34,2.97,1.94,3.76,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.48,0.0,0.03,0.12,1.1,0.47,0.59,0.1,0.01,0.02,0.42,0.65,0.47,0.35,0.0,0.0,0.0
2017-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.06,0.08,1.24,0.94,0.08,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.43,0.0,0.27,2.8,3.54,6.59,6.82,2.51,0.05,0.0,0.06,0.0,0.0,0.17,0.0,0.0,0.0
2017-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.23,0.67,0.98,1.49,1.52,2.35,1.64,0.71,0.41,0.44,0.06,0.4,0.18,0.0,0.07,0.0,0.0
