date,total_curtailment
2014-05,10282
2014-06,3389
2014-07,2505
2014-08,1338
2014-09,806
2014-10,6645
2014-11,9676
2014-12,16488
2015-01,8099
2015-02,15795
2015-03,23119
2015-04,28881
2015-05,41140
2015-06,14419
2015-07,9372
2015-08,7602
2015-09,4511
2015-10,8021
2015-11,15899
2015-12,10864
2016-01,7802
2016-02,21320
2016-03,45763
2016-04,40178
2016-05,35817
2016-06,16601
2016-07,5590
2016-08,6961
2016-09,26347
2016-10,31608
2016-11,35961
2016-12,34473
2017-01,43469
2017-02,59525
2017-03,81776
2017-04,85760
2017-05,33935
2017-06,23161
2017-07,6600
2017-08,6179
2017-09,18482
2017-10,15362
2017-11,11407
2017-12,15837
2018-01,11890
2018-02,36763
2018-03,94778
2018-04,71562
2018-05,72064
2018-06,19683
2018-07,8713
2018-08,14321
2018-09,14297
2018-10,83413
2018-11,25020
2018-12,8550
2019-01,12763
2019-02,82611
2019-03,122225
2019-04,190070
2019-05,223195
2019-06,48609
2019-07,20819
2019-08,14153
2019-09,59637
2019-10,48190
2019-11,69758
2019-12,69313
2020-01,138002
2020-02,157058
2020-03,179081
2020-04,318444
2020-05,255330
2020-06,206411
