date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,0.05,0.05,0.05,0.05,0.06,0.08,0.08,0.07,0.06,0.05,0.04,0.05,0.04,0.05,0.05,0.05,0.01,0.02,0.01,0.0,0.03,0.03,0.02,0.03
2017-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.04,0.04,0.05,0.05,0.06,0.06,0.08,0.03,0.04,0.06,0.06,0.08,0.07,0.07,0.06
2017-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.06,0.08,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.06
2017-01-04,0.07,0.03,0.02,0.01,0.03,0.02,0.03,0.02,0.02,0.03,0.04,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.0,0.03,0.07,0.07,0.08
2017-01-05,0.11,0.11,0.14,0.13,0.11,0.09,0.11,0.16,0.15,0.15,0.19,0.18,0.18,0.18,0.17,0.18,0.21,0.11,0.1,0.08,0.09,0.07,0.1,0.09
2017-01-06,0.04,0.05,0.04,0.04,0.06,0.05,0.04,0.04,0.03,0.04,0.05,0.05,0.07,0.06,0.06,0.06,0.0,0.01,0.03,0.01,0.03,0.06,0.07,0.05
2017-01-07,0.0,0.01,0.03,0.05,0.04,0.0,0.02,0.0,0.03,0.02,0.03,0.02,0.06,0.04,0.04,0.02,0.0,0.0,2.56,0.0,0.01,0.01,0.0,0.04
2017-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
2017-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-10,0.02,0.01,0.01,0.02,0.02,0.01,0.03,0.04,0.0,0.04,0.04,0.03,0.02,0.02,0.03,0.02,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.07
2017-01-11,0.14,0.1,0.06,0.09,0.06,0.05,0.03,0.03,0.05,0.06,0.05,0.03,0.04,0.04,0.04,0.03,0.02,0.02,0.02,0.01,0.03,0.03,0.0,0.04
2017-01-12,0.03,0.01,0.0,0.0,0.0,0.03,0.04,0.04,0.07,0.11,0.06,0.11,0.09,0.08,0.08,0.08,0.12,0.11,0.1,0.07,0.06,0.06,0.05,0.1
2017-01-13,0.02,0.08,0.13,0.13,0.13,0.1,0.16,0.17,0.19,0.17,0.2,0.23,0.22,0.22,0.18,0.21,0.11,0.16,0.16,0.11,0.14,0.11,0.09,0.09
2017-01-14,0.03,0.06,0.05,0.05,0.12,0.03,0.04,0.02,0.04,0.05,0.08,0.06,0.03,0.04,0.04,0.05,0.03,0.06,0.06,0.03,0.05,0.05,0.06,0.08
2017-01-15,0.15,0.12,0.15,0.12,0.16,0.18,0.07,0.04,0.04,0.05,0.07,0.08,0.07,0.06,0.05,0.06,0.06,0.01,0.01,0.04,0.06,0.07,0.06,0.06
