date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,11860.0,11230.0,10930.0,10700.0,10660.0,10860.0,11280.0,11620.0,12260.0,12810.0,13170.0,13340.0,13410.0,13310.0,13340.0,13630.0,14970.0,16250.0,16040.0,15580.0,15140.0,14340.0,13350.0,12300.0
2017-01-02,11400.0,10890.0,10620.0,10570.0,10660.0,12460.0,13960.0,14870.0,15020.0,15170.0,15180.0,15150.0,15120.0,15030.0,15090.0,15380.0,16510.0,17500.0,17350.0,16830.0,16130.0,15150.0,13870.0,12710.0
2017-01-03,11830.0,11370.0,11100.0,11080.0,11390.0,12110.0,13670.0,14670.0,15130.0,15310.0,15490.0,15580.0,15480.0,15570.0,15570.0,15800.0,16800.0,17690.0,17280.0,16700.0,15940.0,14810.0,13420.0,12260.0
2017-01-04,11490.0,10990.0,10730.0,10650.0,10990.0,12100.0,13810.0,14930.0,15000.0,14980.0,14880.0,14780.0,14730.0,14630.0,14760.0,15010.0,15980.0,16980.0,16940.0,16570.0,15990.0,15070.0,13860.0,12760.0
2017-01-05,12000.0,11620.0,11510.0,11590.0,12030.0,13260.0,15220.0,16140.0,16010.0,15710.0,15460.0,15350.0,15330.0,15360.0,15440.0,15800.0,16840.0,18060.0,17890.0,17470.0,16870.0,15800.0,14420.0,13230.0
2017-01-06,12470.0,12010.0,11790.0,11830.0,12240.0,13250.0,15040.0,16090.0,16320.0,16240.0,16170.0,16030.0,15730.0,15780.0,15730.0,15940.0,16890.0,17960.0,17740.0,17310.0,16680.0,15820.0,14750.0,13670.0
2017-01-07,12950.0,12520.0,12290.0,12270.0,12560.0,12980.0,13680.0,14530.0,15390.0,16010.0,16240.0,16220.0,16200.0,16140.0,16180.0,16420.0,17230.0,17850.0,17670.0,17090.0,16440.0,15690.0,14780.0,13860.0
2017-01-08,13260.0,12890.0,12680.0,12610.0,12860.0,13060.0,13830.0,14240.0,14860.0,15410.0,15530.0,15620.0,15650.0,15510.0,15650.0,16050.0,17140.0,18450.0,18410.0,18010.0,17330.0,16350.0,15200.0,14150.0
2017-01-09,13650.0,13350.0,13220.0,13320.0,13970.0,15040.0,16890.0,17960.0,17850.0,17810.0,17680.0,17650.0,17540.0,17450.0,17280.0,17470.0,18400.0,19690.0,19700.0,19160.0,18360.0,17120.0,15760.0,14470.0
2017-01-10,13700.0,13290.0,13160.0,13150.0,13570.0,15070.0,17030.0,17990.0,17930.0,17670.0,17420.0,17330.0,17120.0,17060.0,16990.0,17160.0,18050.0,19100.0,18840.0,18140.0,17310.0,16040.0,14570.0,13340.0
2017-01-11,12530.0,11900.0,11670.0,11610.0,11650.0,12750.0,14430.0,15570.0,15530.0,15380.0,15050.0,14770.0,14570.0,14590.0,14800.0,15060.0,16100.0,17160.0,17100.0,16700.0,16010.0,14900.0,13630.0,12480.0
2017-01-12,11510.0,11060.0,10780.0,10740.0,11000.0,11850.0,13660.0,14760.0,14870.0,14900.0,15050.0,15060.0,15110.0,15120.0,15030.0,15300.0,16070.0,16780.0,16520.0,16000.0,15240.0,14180.0,12830.0,11610.0
