date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,63739.0,62771.0,62067.0,61678.0,61640.0,60725.0,60455.0,61967.0,64078.0,65501.0,66012.0,65946.0,65595.0,64973.0,64591.0,65333.0,68834.0,73398.0,73711.0,72773.0,71048.0,68596.0,65364.0,64187.0
2017-01-02,63083.0,62039.0,61484.0,61626.0,62983.0,65004.0,66995.0,68488.0,69750.0,71573.0,72968.0,73655.0,73606.0,73068.0,72628.0,73010.0,75819.0,78768.0,78527.0,77215.0,75278.0,72373.0,68420.0,65964.0
2017-01-03,63642.0,62398.0,62010.0,62521.0,64388.0,68099.0,73757.0,76219.0,77115.0,78011.0,78585.0,78722.0,78716.0,78639.0,78423.0,78875.0,81544.0,84706.0,84837.0,83631.0,81741.0,78686.0,74632.0,70937.0
2017-01-04,69201.0,68206.0,67919.0,68446.0,70789.0,75300.0,81664.0,84226.0,84579.0,84634.0,84306.0,83575.0,82873.0,82296.0,81697.0,81964.0,84752.0,89019.0,89766.0,88731.0,86834.0,83668.0,80191.0,77967.0
2017-01-05,76348.0,75321.0,74993.0,75338.0,77303.0,81665.0,87915.0,90069.0,89645.0,88913.0,87982.0,86748.0,85697.0,84924.0,84143.0,84288.0,86802.0,90660.0,91364.0,90314.0,88435.0,85299.0,81988.0,78856.0
2017-01-06,76972.0,76333.0,76017.0,76542.0,78943.0,83207.0,89460.0,91943.0,92044.0,91712.0,91021.0,89907.0,88720.0,87633.0,86657.0,86614.0,89055.0,92871.0,93282.0,92291.0,90618.0,87942.0,84998.0,84194.0
2017-01-07,82067.0,81191.0,81280.0,81434.0,82191.0,82527.0,85613.0,87737.0,88831.0,88662.0,87408.0,85472.0,83285.0,81350.0,79851.0,79694.0,82629.0,87732.0,88992.0,88459.0,87508.0,86156.0,84410.0,83260.0
2017-01-08,81798.0,80870.0,80492.0,80564.0,80494.0,81372.0,83664.0,85441.0,86155.0,85668.0,84456.0,82992.0,82102.0,80609.0,79352.0,78731.0,82274.0,87950.0,89425.0,88990.0,87070.0,84248.0,80793.0,80234.0
2017-01-09,78476.0,77605.0,77414.0,78195.0,80867.0,85410.0,91487.0,92981.0,91883.0,90694.0,89238.0,87490.0,85878.0,84551.0,83366.0,83289.0,85747.0,89546.0,90279.0,88776.0,86183.0,82430.0,78242.0,76003.0
2017-01-10,73885.0,72458.0,71863.0,72239.0,73920.0,78249.0,83808.0,85168.0,84546.0,84102.0,83563.0,82814.0,82232.0,81730.0,81118.0,81176.0,83246.0,86280.0,86681.0,85474.0,83368.0,80392.0,76346.0,73589.0
