date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2015-07-02,572656.0,554682.0,543332.0,520871.0,485722.0,453284.0,429199.0,407007.0,395194.0,387654.0,390157.0,401643.0,417369.0,437741.0,459562.0,485186.0,509369.0,529809.0,546611.0,558445.0,565833.0,569351.0,569616.0,561747.0
2015-07-03,549867.0,533110.0,522864.0,501272.0,470322.0,440084.0,415203.0,394227.0,383147.0,373941.0,371552.0,373312.0,380160.0,396051.0,418789.0,444329.0,466734.0,487268.0,504422.0,518545.0,528781.0,536381.0,539823.0,534988.0
2015-07-04,523996.0,510066.0,500554.0,482726.0,455366.0,428928.0,403685.0,384331.0,373639.0,363002.0,357789.0,355088.0,356956.0,371087.0,396040.0,423956.0,450542.0,472985.0,490561.0,502921.0,512645.0,519700.0,521413.0,515522.0
2015-07-05,501977.0,482706.0,469315.0,454492.0,436638.0,414372.0,391943.0,374853.0,366221.0,357581.0,352403.0,348599.0,351157.0,368197.0,393860.0,423719.0,452969.0,480469.0,503990.0,521951.0,535678.0,545454.0,550003.0,547755.0
2015-07-06,538399.0,524023.0,515913.0,497970.0,467812.0,438224.0,414590.0,395547.0,386688.0,380838.0,385464.0,398533.0,420832.0,446871.0,474788.0,506007.0,536868.0,563797.0,589744.0,605239.0,615340.0,621261.0,623522.0,615818.0
2015-07-07,601361.0,581218.0,568149.0,542142.0,505672.0,470729.0,442811.0,420969.0,409642.0,402985.0,407068.0,421136.0,441560.0,464681.0,491014.0,520354.0,548163.0,569321.0,586642.0,597474.0,603058.0,604647.0,603780.0,595497.0
2015-07-08,581339.0,564321.0,553340.0,528957.0,494752.0,462961.0,437583.0,416753.0,405718.0,399035.0,402850.0,416976.0,434829.0,456051.0,478751.0,505965.0,531366.0,552901.0,569979.0,583083.0,589376.0,591145.0,589491.0,583168.0
2015-07-09,572032.0,556190.0,546810.0,523743.0,490385.0,459870.0,434165.0,413711.0,402481.0,395743.0,400413.0,415287.0,433812.0,455226.0,479933.0,508105.0,535096.0,557013.0,576290.0,590510.0,600423.0,606757.0,607992.0,600910.0
2015-07-10,587071.0,568610.0,555377.0,531088.0,497102.0,464134.0,439444.0,416798.0,404413.0,396409.0,399157.0,410814.0,429427.0,452385.0,480259.0,510769.0,539582.0,562007.0,580803.0,596045.0,605642.0,612238.0,612494.0,603834.0
2015-07-11,587174.0,568304.0,553155.0,537202.0,497571.0,465592.0,436874.0,415135.0,398333.0,387369.0,382586.0,382347.0,388981.0,411386.0,441399.0,476195.0,508693.0,535117.0,555206.0,569949.0,580793.0,588357.0,590674.0,585565.0
