date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,12.86,14.67,13.88,11.16,12.19,10.95,8.25,10.53,10.58,12.11,8.16,6.04,6.85,5.47,4.71,3.3,0.48,0.47,0.27,0.0,0.49,3.5,3.83,1.71
2017-01-02,5.67,9.18,5.7,7.05,5.7,3.96,3.71,10.48,12.48,13.53,9.34,7.25,6.73,4.98,6.32,6.81,4.11,0.85,2.32,3.64,3.07,5.12,8.06,6.32
2017-01-03,7.03,9.14,8.94,8.44,9.16,5.12,3.8,5.85,7.5,10.46,5.43,4.27,3.9,3.77,3.5,5.99,7.09,0.81,0.79,0.81,0.82,2.19,3.76,2.59
2017-01-04,5.77,7.04,8.58,8.17,8.89,5.77,5.05,5.6,5.2,8.97,6.58,6.68,7.08,7.62,6.48,9.12,8.02,2.53,2.37,6.49,5.85,7.25,9.78,5.6
2017-01-05,7.26,8.21,7.72,7.3,8.36,4.65,3.77,7.29,8.97,10.6,11.42,11.37,10.6,10.13,9.86,9.82,9.71,4.45,4.14,5.58,7.62,8.53,7.82,6.77
2017-01-06,7.37,8.47,6.5,5.91,6.37,3.99,3.81,6.7,4.86,7.22,10.09,7.83,8.05,8.5,8.66,7.39,12.06,8.4,8.05,7.68,9.42,7.56,11.43,9.78
2017-01-07,15.38,16.52,12.61,10.45,10.89,11.43,10.6,12.26,10.47,14.26,14.55,13.81,16.65,15.8,14.53,12.7,17.75,15.7,13.45,15.55,17.71,16.99,19.81,14.22
2017-01-08,19.58,20.48,20.03,17.59,17.53,16.16,16.62,18.62,19.26,24.72,24.97,24.71,26.59,24.99,24.78,26.14,33.5,34.32,26.73,29.17,31.23,29.2,32.53,21.29
2017-01-09,29.47,29.33,27.94,28.17,28.46,20.54,18.15,29.16,19.22,32.47,34.38,31.07,34.02,30.02,30.95,31.62,39.54,39.87,41.64,46.7,40.84,32.47,33.27,25.41
2017-01-10,25.05,24.72,25.79,26.22,21.85,23.34,21.11,29.11,30.88,31.82,18.25,11.79,10.46,12.31,12.06,13.15,18.17,20.77,22.04,17.46,14.18,13.18,15.71,14.23
2017-01-11,13.54,12.65,12.22,11.66,12.51,11.55,6.17,2.94,4.1,3.82,3.22,1.59,1.85,1.33,1.04,1.77,2.21,0.0,0.48,1.99,2.39,3.99,2.63,4.28
2017-01-12,11.13,11.9,11.18,11.62,13.83,11.22,4.52,1.92,0.87,0.93,2.09,0.6,0.45,0.19,0.15,0.29,0.71,0.05,0.78,0.75,0.79,0.49,0.2,1.41
2017-01-13,0.03,2.33,3.04,3.29,2.74,2.21,0.12,0.0,0.0,0.0,0.13,0.13,0.16,0.16,0.16,0.15,0.11,0.0,0.0,0.17,0.18,0.14,1.28,1.2
2017-01-14,0.1,0.09,0.0,0.0,0.0,0.14,2.31,3.49,0.64,3.24,4.23,2.87,4.1,2.93,2.73,0.63,2.39,0.2,0.27,1.55,0.79,3.21,5.02,4.9
2017-01-15,1.7,2.3,0.69,1.31,1.43,0.71,0.08,2.29,0.19,2.53,1.99,0.44,1.23,1.25,0.34,0.16,0.14,0.73,0.79,1.7,0.93,0.66,0.23,0.18
2017-01-16,0.27,0.0,0.0,0.0,0.0,0.0,0.17,0.22,0.16,2.33,2.64,0.2,1.67,1.73,0.95,0.17,0.13,0.33,0.81,0.86,0.94,0.38,0.09,0.1
2017-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.24,0.24,0.25,0.94,1.27,0.63,0.59,0.36,0.38,0.32,0.96,1.29,0.61,0.33,0.35,1.15,2.51
2017-01-18,2.3,0.91,0.38,0.84,0.27,0.0,0.01,0.0,0.0,0.0,0.01,0.04,0.07,0.05,0.06,0.09,0.07,0.0,0.0,0.11,0.16,0.32,0.11,1.19
2017-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.11,0.1,0.08,0.05,0.05,0.09,0.1,0.12,0.1,0.17,0.0,0.0,0.12,0.2,0.15,0.07,0.0
2017-01-20,0.06,0.0,0.0,0.17,0.13,0.0,0.14,0.05,0.05,0.07,0.11,0.14,0.18,0.14,0.16,0.19,0.17,0.21,0.17,0.3,0.36,0.27,0.44,2.54
2017-01-21,4.96,2.71,4.09,5.46,4.2,4.29,2.25,1.86,1.72,1.76,1.84,1.85,1.58,1.55,1.47,1.51,1.79,2.67,2.66,0.59,0.16,0.21,0.84,3.57
2017-01-22,3.46,2.8,4.4,4.06,4.92,3.73,0.99,2.38,0.33,0.02,0.1,0.1,0.05,0.1,0.43,0.37,0.76,7.84,4.42,3.08,0.68,1.12,3.44,5.14
2017-01-23,9.08,8.41,7.97,8.58,9.3,7.61,3.58,5.47,2.9,3.27,3.58,6.62,5.68,5.82,5.31,4.71,7.47,8.45,6.12,5.2,3.35,0.96,2.17,2.86
2017-01-24,4.76,4.05,3.82,3.9,4.22,3.17,0.56,0.17,0.17,0.16,0.01,0.04,0.07,0.05,0.07,0.07,0.08,0.0,0.0,0.0,0.06,0.11,0.11,1.17
2017-01-25,3.21,2.32,2.17,3.09,2.11,2.57,0.18,0.32,0.15,0.23,0.29,0.28,0.37,0.25,0.25,0.25,1.02,1.8,3.28,0.64,0.49,0.19,1.73,2.74
2017-01-26,5.21,5.45,5.64,6.09,6.12,4.52,2.84,1.43,0.12,0.22,0.17,0.23,0.3,0.65,0.32,0.23,2.71,5.02,4.74,2.82,1.06,0.56,3.1,4.53
2017-01-27,9.09,8.87,8.96,9.77,9.53,8.89,7.46,9.58,5.19,5.43,5.81,5.27,4.36,3.92,3.48,4.2,5.56,11.75,8.85,6.25,3.89,2.66,5.31,5.6
2017-01-28,12.9,11.86,11.09,11.5,11.19,11.54,10.6,10.31,6.51,8.81,8.9,7.9,7.41,5.3,6.27,6.36,8.99,13.79,11.45,9.05,8.67,8.93,9.21,10.82
2017-01-29,13.19,12.65,11.71,12.5,12.65,10.28,7.6,6.4,4.2,3.08,3.24,3.2,4.17,2.14,2.19,1.63,5.43,8.35,5.15,3.36,1.03,1.48,2.35,4.05
2017-01-30,4.35,3.58,2.89,2.27,2.08,0.31,0.07,3.03,3.16,3.29,3.05,3.32,3.69,4.6,4.64,4.73,6.53,8.69,6.66,6.07,4.55,3.02,8.84,4.75
2017-01-31,4.73,4.03,3.48,4.65,3.89,5.5,3.42,14.04,7.52,7.29,5.49,5.18,3.89,3.23,4.1,3.97,5.52,10.44,11.6,8.37,7.03,3.97,6.12,4.4
2017-02-01,3.36,4.16,4.78,5.43,6.02,5.04,2.66,6.61,3.56,4.4,3.84,4.11,3.61,1.23,0.94,0.67,4.41,8.82,6.01,4.14,3.02,1.7,2.3,3.65
2017-02-02,3.54,3.48,3.51,3.68,4.17,2.07,2.38,4.5,0.43,1.4,2.83,3.14,2.85,3.21,3.11,3.1,6.11,9.5,6.99,3.88,3.19,4.43,4.03,3.36
2017-02-03,6.12,5.07,4.75,4.31,4.32,4.24,2.18,7.36,4.77,6.0,6.26,7.14,7.42,6.16,5.74,5.29,6.96,10.16,7.22,5.37,4.42,3.9,4.99,9.1
2017-02-04,8.4,7.14,6.5,6.65,6.54,4.34,2.49,6.04,3.94,5.81,5.66,5.37,6.59,5.72,5.59,3.52,7.43,8.58,9.01,4.8,4.83,4.38,5.29,7.25
2017-02-05,5.55,4.39,3.58,3.28,3.25,3.19,3.34,5.4,2.68,5.26,4.41,4.25,5.05,5.79,4.92,5.0,5.42,12.94,6.94,6.7,2.81,4.61,4.86,7.61
2017-02-06,5.18,3.37,3.2,2.93,2.49,0.81,0.0,0.06,0.0,0.01,0.09,0.13,0.12,0.14,0.15,0.15,0.11,0.0,0.42,0.54,0.84,0.72,0.11,0.13
2017-02-07,0.91,0.32,0.75,0.74,0.91,0.13,0.07,0.21,0.0,0.19,0.32,1.64,1.37,1.82,1.82,2.83,3.78,4.4,4.6,3.27,2.02,4.08,3.99,7.53
2017-02-08,7.9,7.08,6.35,6.28,7.08,6.83,4.97,2.41,0.71,1.91,2.17,2.14,0.35,0.0,0.15,0.12,0.34,2.07,0.0,0.0,0.13,0.0,0.0,0.2
2017-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.18,1.25,0.19,1.74,3.11,3.96,3.67,4.04,3.43,3.77,4.53,3.69,0.79,0.81,1.1,0.91,2.62,3.32
2017-02-10,8.48,8.18,8.9,8.53,7.58,7.7,13.07,12.93,10.28,10.25,9.87,7.9,6.21,4.5,3.8,2.62,3.32,3.06,3.63,3.24,2.27,3.16,2.92,7.83
