date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,15413.0,14879.0,14464.0,14210.0,14070.0,13956.0,13714.0,13592.0,13999.0,14643.0,15098.0,15454.0,15601.0,15557.0,15526.0,15699.0,16419.0,17738.0,17978.0,17932.0,17735.0,17297.0,16657.0,15930.0
2017-01-02,14725.0,14163.0,13783.0,13576.0,13647.0,14032.0,14544.0,15101.0,15817.0,16515.0,17215.0,17592.0,17642.0,17528.0,17562.0,17540.0,18026.0,19530.0,19424.0,18998.0,18409.0,17530.0,16372.0,15224.0
2017-01-03,14559.0,14053.0,13755.0,13646.0,13825.0,14570.0,15980.0,17109.0,17546.0,17975.0,18190.0,18276.0,18249.0,18223.0,18164.0,18222.0,18799.0,19833.0,19646.0,19194.0,18606.0,17727.0,16586.0,15416.0
2017-01-04,14575.0,13974.0,13631.0,13509.0,13705.0,14549.0,16216.0,17468.0,17832.0,18171.0,18311.0,18381.0,18357.0,18374.0,18371.0,18537.0,19285.0,20553.0,20529.0,20136.0,19566.0,18691.0,17484.0,16241.0
2017-01-05,15498.0,14976.0,14685.0,14608.0,14848.0,15735.0,17475.0,18771.0,19115.0,19412.0,19535.0,19534.0,19452.0,19416.0,19336.0,19443.0,20111.0,21289.0,21263.0,20875.0,20324.0,19441.0,18238.0,16993.0
2017-01-06,15856.0,15265.0,14945.0,14843.0,15055.0,15906.0,17557.0,18874.0,19305.0,19637.0,19762.0,19657.0,19518.0,19413.0,19312.0,19347.0,19866.0,20877.0,20862.0,20463.0,19949.0,19279.0,18404.0,17437.0
2017-01-07,16635.0,16002.0,15641.0,15469.0,15508.0,15827.0,16433.0,17129.0,17887.0,18613.0,18997.0,19059.0,18998.0,18847.0,18746.0,18780.0,19268.0,20342.0,20421.0,20072.0,19623.0,19057.0,18355.0,17598.0
2017-01-08,16797.0,16208.0,15860.0,15680.0,15684.0,15899.0,16334.0,16824.0,17490.0,18202.0,18653.0,18870.0,18940.0,18873.0,18827.0,18948.0,19629.0,21000.0,21244.0,20966.0,20506.0,19767.0,18797.0,17776.0
2017-01-09,17087.0,16578.0,16325.0,16269.0,16548.0,17490.0,19241.0,20617.0,21027.0,21340.0,21493.0,21451.0,21286.0,21145.0,20980.0,20982.0,21537.0,22782.0,22828.0,22382.0,21692.0,20662.0,19315.0,17956.0
2017-01-10,17090.0,16521.0,16201.0,16077.0,16267.0,17094.0,18694.0,19975.0,20323.0,20605.0,20720.0,20631.0,20498.0,20391.0,20246.0,20275.0,20760.0,21687.0,21491.0,20938.0,20255.0,19286.0,18017.0,16735.0
2017-01-11,15773.0,15169.0,14813.0,14673.0,14837.0,15636.0,17277.0,18527.0,18845.0,19073.0,19163.0,19143.0,19033.0,18976.0,18901.0,18993.0,19519.0,20549.0,20470.0,19981.0,19361.0,18484.0,17301.0,16077.0
2017-01-12,14772.0,14170.0,13827.0,13678.0,13844.0,14639.0,16273.0,17534.0,17907.0,18292.0,18458.0,18488.0,18419.0,18389.0,18318.0,18402.0,18944.0,19914.0,19810.0,19300.0,18652.0,17732.0,16518.0,15289.0
2017-01-13,14206.0,13678.0,13391.0,13310.0,13554.0,14469.0,16299.0,17697.0,18114.0,18390.0,18538.0,18521.0,18408.0,18347.0,18291.0,18379.0,18860.0,19921.0,20017.0,19599.0,19037.0,18355.0,17438.0,16443.0
2017-01-14,15464.0,14862.0,14522.0,14361.0,14439.0,14843.0,15579.0,16430.0,17176.0,17795.0,18094.0,18079.0,17953.0,17738.0,17594.0,17605.0,18058.0,19160.0,19295.0,18924.0,18455.0,17849.0,17071.0,16236.0
2017-01-15,15338.0,14747.0,14378.0,14187.0,14180.0,14384.0,14793.0,15253.0,15895.0,16483.0,16854.0,16969.0,16948.0,16832.0,16735.0,16824.0,17439.0,18861.0,19226.0,19019.0,18629.0,17954.0,17023.0,16077.0
2017-01-16,15474.0,15012.0,14742.0,14648.0,14859.0,15547.0,16721.0,17617.0,18202.0,18654.0,18844.0,18842.0,18639.0,18546.0,18428.0,18451.0,18959.0,20185.0,20319.0,19956.0,19358.0,18485.0,17298.0,16147.0
2017-01-17,15102.0,14590.0,14318.0,14233.0,14458.0,15331.0,17004.0,18306.0,18667.0,18897.0,18998.0,18997.0,18880.0,18803.0,18704.0,18763.0,19265.0,20244.0,20188.0,19688.0,19038.0,18104.0,16856.0,15608.0
2017-01-18,14618.0,14057.0,13741.0,13637.0,13855.0,14747.0,16480.0,17853.0,18269.0,18568.0,18718.0,18743.0,18668.0,18640.0,18591.0,18696.0,19264.0,20319.0,20293.0,19764.0,19096.0,18162.0,16884.0,15586.0
2017-01-19,14661.0,14059.0,13720.0,13607.0,13837.0,14767.0,16582.0,17962.0,18336.0,18544.0,18590.0,18517.0,18366.0,18275.0,18177.0,18259.0,18834.0,20022.0,20126.0,19693.0,19084.0,18190.0,16922.0,15639.0
2017-01-20,14696.0,14132.0,13817.0,13713.0,13946.0,14876.0,16715.0,18099.0,18493.0,18727.0,18808.0,18710.0,18517.0,18401.0,18278.0,18303.0,18744.0,19646.0,19574.0,19037.0,18383.0,17617.0,16612.0,15530.0
2017-01-21,14559.0,13884.0,13480.0,13263.0,13285.0,13625.0,14278.0,15025.0,15754.0,16384.0,16705.0,16740.0,16616.0,16402.0,16256.0,16281.0,16770.0,17853.0,18040.0,17652.0,17129.0,16489.0,15674.0,14783.0
2017-01-22,13953.0,13337.0,12950.0,12746.0,12754.0,13021.0,13515.0,14061.0,14713.0,15387.0,15837.0,16072.0,16154.0,16104.0,16077.0,16216.0,16854.0,18035.0,18285.0,17962.0,17457.0,16686.0,15655.0,14594.0
2017-01-23,13775.0,13330.0,13092.0,13043.0,13327.0,14294.0,16078.0,17530.0,18088.0,18522.0,18781.0,18827.0,18805.0,18793.0,18737.0,18822.0,19364.0,20374.0,20415.0,19919.0,19173.0,18176.0,16885.0,15590.0
2017-01-24,14662.0,14107.0,13803.0,13703.0,13931.0,14833.0,16560.0,17930.0,18415.0,18778.0,18967.0,18940.0,18897.0,18870.0,18819.0,18896.0,19406.0,20331.0,20385.0,19910.0,19255.0,18327.0,17095.0,15860.0
2017-01-25,15003.0,14429.0,14106.0,13999.0,14230.0,15153.0,16996.0,18325.0,18673.0,18841.0,18886.0,18801.0,18642.0,18565.0,18477.0,18545.0,19084.0,20171.0,20296.0,19846.0,19191.0,18240.0,16936.0,15615.0
2017-01-26,14726.0,14129.0,13788.0,13664.0,13877.0,14766.0,16527.0,17842.0,18262.0,18557.0,18657.0,18657.0,18532.0,18455.0,18373.0,18461.0,19025.0,20067.0,20211.0,19783.0,19124.0,18185.0,16924.0,15655.0
2017-01-27,14736.0,14210.0,13908.0,13812.0,14047.0,14949.0,16735.0,18059.0,18518.0,18813.0,18946.0,18908.0,18788.0,18719.0,18644.0,18699.0,19128.0,19908.0,19975.0,19504.0,18858.0,18083.0,17116.0,16081.0
2017-01-28,15086.0,14472.0,14105.0,13929.0,13981.0,14350.0,15048.0,15756.0,16533.0,17160.0,17488.0,17507.0,17421.0,17253.0,17146.0,17184.0,17624.0,18525.0,18808.0,18500.0,18011.0,17394.0,16653.0,15840.0
2017-01-29,14991.0,14383.0,14018.0,13829.0,13839.0,14102.0,14614.0,15102.0,15782.0,16382.0,16769.0,16923.0,16964.0,16893.0,16849.0,16968.0,17562.0,18691.0,19144.0,18946.0,18515.0,17774.0,16833.0,15855.0
2017-01-30,15002.0,14525.0,14288.0,14250.0,14554.0,15558.0,17382.0,18798.0,19350.0,19699.0,19869.0,19813.0,19680.0,19571.0,19455.0,19520.0,20063.0,21126.0,21492.0,21165.0,20511.0,19497.0,18200.0,16910.0
2017-01-31,15859.0,15322.0,15038.0,14951.0,15200.0,16138.0,17905.0,19206.0,19659.0,19930.0,20011.0,19904.0,19736.0,19623.0,19499.0,19535.0,20051.0,20958.0,21192.0,20781.0,20105.0,19067.0,17754.0,16461.0
2017-02-01,15568.0,15015.0,14688.0,14588.0,14796.0,15672.0,17418.0,18613.0,18979.0,19168.0,19242.0,19152.0,19009.0,18937.0,18841.0,18850.0,19156.0,20080.0,20414.0,19986.0,19421.0,18684.0,17512.0,16317.0
2017-02-02,15413.0,14880.0,14584.0,14510.0,14754.0,15668.0,17480.0,18700.0,19091.0,19315.0,19406.0,19340.0,19204.0,19133.0,19045.0,19080.0,19437.0,20426.0,20875.0,20500.0,19953.0,19206.0,18024.0,16835.0
2017-02-03,15799.0,15318.0,15051.0,14993.0,15249.0,16152.0,17936.0,19128.0,19558.0,19805.0,19899.0,19812.0,19634.0,19500.0,19366.0,19327.0,19560.0,20360.0,20741.0,20295.0,19725.0,19096.0,18156.0,17154.0
2017-02-04,16300.0,15752.0,15423.0,15273.0,15326.0,15649.0,16299.0,16821.0,17524.0,18044.0,18271.0,18274.0,18088.0,17850.0,17662.0,17599.0,17836.0,18822.0,19432.0,19137.0,18677.0,18175.0,17436.0,16634.0
2017-02-05,15936.0,15378.0,15000.0,14796.0,14764.0,14942.0,15289.0,15586.0,16224.0,16819.0,17199.0,17438.0,17462.0,17382.0,17274.0,17285.0,17629.0,18606.0,19158.0,18870.0,18378.0,17696.0,16704.0,15694.0
2017-02-06,15056.0,14640.0,14418.0,14396.0,14688.0,15651.0,17452.0,18633.0,19056.0,19266.0,19341.0,19251.0,19096.0,18994.0,18870.0,18848.0,19146.0,20111.0,20617.0,20258.0,19630.0,18775.0,17538.0,16281.0
2017-02-07,15130.0,14555.0,14239.0,14123.0,14326.0,15198.0,16901.0,18085.0,18569.0,18920.0,19103.0,19087.0,18987.0,18901.0,18763.0,18723.0,18988.0,19681.0,19963.0,19473.0,18792.0,17872.0,16603.0,15340.0
2017-02-08,14423.0,13864.0,13523.0,13400.0,13581.0,14396.0,16060.0,17218.0,17713.0,18083.0,18261.0,18263.0,18197.0,18135.0,18077.0,18098.0,18407.0,19238.0,19699.0,19307.0,18723.0,17927.0,16794.0,15639.0
2017-02-09,14896.0,14409.0,14141.0,14100.0,14379.0,15325.0,17102.0,18378.0,18966.0,19390.0,19636.0,19704.0,19662.0,19648.0,19587.0,19639.0,20035.0,20981.0,21575.0,21233.0,20651.0,19773.0,18531.0,17303.0
2017-02-10,16397.0,15873.0,15576.0,15484.0,15711.0,16555.0,18209.0,19366.0,19853.0,20129.0,20251.0,20181.0,20016.0,19881.0,19717.0,19639.0,19837.0,20511.0,20965.0,20520.0,19877.0,19131.0,18146.0,17101.0
2017-02-11,16272.0,15634.0,15220.0,14987.0,14956.0,15189.0,15636.0,16108.0,16881.0,17497.0,17803.0,17908.0,17760.0,17555.0,17374.0,17284.0,17458.0,18143.0,18691.0,18376.0,17889.0,17330.0,16600.0,15805.0
2017-02-12,15136.0,14547.0,14164.0,13974.0,13973.0,14222.0,14630.0,14989.0,15756.0,16488.0,16980.0,17272.0,17375.0,17357.0,17313.0,17368.0,17705.0,18469.0,19051.0,18775.0,18264.0,17527.0,16541.0,15520.0
2017-02-13,14809.0,14362.0,14117.0,14081.0,14358.0,15301.0,17001.0,18238.0,18833.0,19223.0,19431.0,19411.0,19342.0,19290.0,19196.0,19197.0,19526.0,20357.0,20998.0,20694.0,20058.0,19143.0,17920.0,16688.0
2017-02-14,15773.0,15215.0,14918.0,14831.0,15085.0,16035.0,17819.0,18985.0,19393.0,19604.0,19630.0,19464.0,19236.0,19100.0,18922.0,18883.0,19175.0,19951.0,20565.0,20247.0,19630.0,18696.0,17418.0,16144.0
2017-02-15,15177.0,14636.0,14323.0,14233.0,14455.0,15344.0,17014.0,18153.0,18629.0,18906.0,19011.0,18942.0,18810.0,18741.0,18644.0,18659.0,18962.0,19657.0,20257.0,19961.0,19401.0,18566.0,17408.0,16239.0
