date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,88089.0,83966.0,78139.0,75454.0,73998.0,73419.0,73805.0,74982.0,76963.0,79641.0,82456.0,83974.0,83825.0,83170.0,82158.0,81023.0,80524.0,80860.0,84369.0,91907.0,93886.0,93085.0,92068.0,89732.0
2017-01-02,86155.0,82021.0,76710.0,74802.0,73988.0,74083.0,75947.0,80348.0,86738.0,91391.0,92916.0,93850.0,94178.0,93662.0,92600.0,91652.0,90764.0,90766.0,93252.0,99191.0,99430.0,97672.0,95392.0,91908.0
2017-01-03,86752.0,81283.0,76663.0,73832.0,72093.0,71426.0,72546.0,76254.0,82225.0,86589.0,88233.0,89478.0,90242.0,90287.0,89765.0,89232.0,88548.0,88452.0,90802.0,95922.0,96154.0,94713.0,92837.0,89665.0
2017-01-04,84712.0,79329.0,77179.0,74742.0,73683.0,73569.0,75291.0,80032.0,87680.0,93357.0,94487.0,94708.0,94870.0,94457.0,93762.0,93410.0,92915.0,93354.0,96469.0,104022.0,106618.0,106474.0,105712.0,103385.0
2017-01-05,98607.0,93356.0,90275.0,88466.0,88095.0,88629.0,91071.0,96643.0,104869.0,109952.0,109969.0,108860.0,107634.0,106066.0,104319.0,103167.0,102293.0,102582.0,105771.0,112967.0,114626.0,113969.0,112654.0,109736.0
2017-01-06,104391.0,98689.0,96772.0,94768.0,93660.0,93826.0,95757.0,100373.0,107430.0,112172.0,112643.0,112439.0,111620.0,110193.0,108437.0,107026.0,105860.0,105812.0,108258.0,113979.0,115618.0,115142.0,114398.0,112593.0
2017-01-07,109051.0,104543.0,102754.0,100417.0,99278.0,99085.0,99609.0,101081.0,102775.0,105896.0,109253.0,111546.0,111932.0,110825.0,108829.0,106732.0,105565.0,105666.0,108276.0,114195.0,116181.0,115451.0,114339.0,112895.0
2017-01-08,109897.0,106091.0,105964.0,104143.0,103033.0,102737.0,103413.0,104500.0,106150.0,108698.0,110565.0,111231.0,110037.0,108586.0,106847.0,105186.0,104139.0,104594.0,108003.0,115372.0,119164.0,119351.0,117866.0,115509.0
2017-01-09,111945.0,107872.0,106482.0,105064.0,104588.0,105389.0,107573.0,112024.0,118756.0,123436.0,123562.0,122060.0,120216.0,117644.0,115260.0,113404.0,112274.0,112228.0,114835.0,120808.0,123520.0,123020.0,119879.0,115443.0
2017-01-10,109699.0,104120.0,102202.0,99854.0,98501.0,98296.0,99694.0,103948.0,110377.0,114644.0,114170.0,113072.0,111563.0,109767.0,107513.0,106060.0,104894.0,104812.0,106826.0,111204.0,112324.0,110525.0,107749.0,103804.0
2017-01-11,97712.0,91398.0,86965.0,84189.0,82579.0,82222.0,83626.0,87863.0,94846.0,99196.0,99759.0,99412.0,98858.0,97670.0,96320.0,95452.0,94772.0,94741.0,96929.0,101714.0,102612.0,100954.0,99058.0,95371.0
2017-01-12,89939.0,84225.0,78986.0,76102.0,74330.0,73724.0,74960.0,79107.0,86214.0,90818.0,91727.0,92179.0,92387.0,92095.0,91451.0,91129.0,90567.0,90324.0,92189.0,96917.0,97573.0,96176.0,94534.0,91199.0
2017-01-13,85999.0,80531.0,77203.0,74795.0,73415.0,73388.0,75016.0,79551.0,87213.0,92881.0,94223.0,94773.0,94888.0,94301.0,93259.0,92576.0,92049.0,92243.0,94491.0,100113.0,100698.0,99726.0,98901.0,97072.0
2017-01-14,93537.0,89194.0,83264.0,80667.0,79567.0,79227.0,79934.0,82062.0,85385.0,89661.0,93284.0,95846.0,96879.0,96726.0,95626.0,94563.0,93992.0,94336.0,97207.0,102234.0,101525.0,99292.0,97611.0,95328.0
2017-01-15,91734.0,87237.0,84950.0,82369.0,80870.0,80365.0,80700.0,81957.0,84114.0,86903.0,89349.0,90463.0,89990.0,89067.0,88048.0,86926.0,86223.0,86420.0,89476.0,96110.0,98250.0,98192.0,97796.0,95615.0
