date,outage
2017-01-01,6050
2017-01-02,5784
2017-01-03,7058
2017-01-04,8383
2017-01-05,6172
2017-01-06,5995
2017-01-07,6980
2017-01-08,7648
2017-01-09,9418
2017-01-10,11245
2017-01-11,10569
2017-01-12,10181
2017-01-13,9547
2017-01-14,9251
2017-01-15,10576
2017-01-16,7971
2017-01-17,8429
2017-01-18,11948
2017-01-19,12295
2017-01-20,10230
2017-01-21,8766
2017-01-22,5964
2017-01-23,5733
2017-01-24,7403
2017-01-25,8458
2017-01-26,7825
2017-01-27,7060
2017-01-28,8270
2017-01-29,5499
2017-01-30,5128
2017-01-31,5498
2017-02-01,5358
2017-02-02,4675
2017-02-03,5269
2017-02-04,6821
2017-02-05,7136
2017-02-06,7793
2017-02-07,8255
2017-02-08,9071
2017-02-09,9170
2017-02-10,7068
2017-02-11,9514
2017-02-12,7558
2017-02-13,8585
2017-02-14,8698
2017-02-15,8655
2017-02-16,9093
2017-02-17,9113
2017-02-18,8744
2017-02-19,7166
2017-02-20,8604
2017-02-21,9559
2017-02-22,6681
2017-02-23,7459
2017-02-24,9225
2017-02-25,8401
2017-02-26,7383
2017-02-27,6345
2017-02-28,7536
2017-03-01,7523
2017-03-02,7760
2017-03-03,7215
2017-03-04,7859
2017-03-05,7115
2017-03-06,8392
2017-03-07,9894
2017-03-08,9420
2017-03-09,10049
2017-03-10,9924
2017-03-11,9191
2017-03-12,6859
2017-03-13,6774
2017-03-14,8395
2017-03-15,8454
2017-03-16,9805
2017-03-17,7867
2017-03-18,7377
2017-03-19,8016
2017-03-20,7623
2017-03-21,8590
2017-03-22,7983
2017-03-23,7347
2017-03-24,6010
2017-03-25,6692
2017-03-26,6134
2017-03-27,6472
2017-03-28,7609
2017-03-29,7371
2017-03-30,8021
2017-03-31,6067
2017-04-01,9268
2017-04-02,7841
2017-04-03,6808
2017-04-04,6684
2017-04-05,7206
2017-04-06,6983
2017-04-07,6480
2017-04-08,4858
2017-04-09,5985
2017-04-10,6511
2017-04-11,7664
2017-04-12,8287
2017-04-13,6684
2017-04-14,5457
2017-04-15,5745
2017-04-16,5514
2017-04-17,5212
2017-04-18,5201
2017-04-19,4478
2017-04-20,4908
2017-04-21,3702
2017-04-22,3415
2017-04-23,3092
2017-04-24,4469
2017-04-25,3956
2017-04-26,4852
2017-04-27,5834
2017-04-28,7207
2017-04-29,5964
2017-04-30,6310
2017-05-01,7083
2017-05-02,7194
2017-05-03,8248
2017-05-04,6430
2017-05-05,4688
2017-05-06,5147
2017-05-07,5935
2017-05-08,4030
2017-05-09,4147
2017-05-10,5318
2017-05-11,4834
2017-05-12,5392
2017-05-13,6265
2017-05-14,7838
2017-05-15,6180
2017-05-16,9542
2017-05-17,8776
2017-05-18,7075
2017-05-19,8247
2017-05-20,5689
2017-05-21,6609
2017-05-22,5567
2017-05-23,6808
2017-05-24,7837
2017-05-25,9582
2017-05-26,7961
2017-05-27,7064
2017-05-28,7241
2017-05-29,6419
2017-05-30,6342
2017-05-31,6231
2017-06-01,7381
2017-06-02,8040
2017-06-03,6049
2017-06-04,5249
2017-06-05,7431
2017-06-06,7127
2017-06-07,8602
2017-06-08,10291
2017-06-09,12017
2017-06-10,14083
2017-06-11,15377
2017-06-12,13164
2017-06-13,12754
2017-06-14,10187
2017-06-15,10069
2017-06-16,8377
2017-06-17,10724
2017-06-18,11233
2017-06-19,9093
2017-06-20,6981
