date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,3.54,3.34,3.49,4.41,4.39,6.2,5.14,4.5,5.43,5.39,5.99,7.56,7.13,7.24,7.09,6.93,6.43,5.98,6.36,6.57,7.04,6.82,6.68,6.63
2017-01-02,7.05,7.08,7.35,7.76,7.04,6.0,2.99,3.26,3.94,2.93,1.01,0.11,0.58,1.47,1.55,1.16,1.15,0.5,0.97,1.71,2.38,5.2,7.52,7.58
2017-01-03,10.04,8.28,8.13,7.78,7.46,8.75,11.99,14.65,8.29,6.34,5.64,3.16,2.8,2.21,2.13,2.22,0.89,1.69,2.31,2.14,2.15,1.99,1.55,1.86
2017-01-04,1.88,1.94,2.09,1.74,1.61,1.34,2.3,2.19,2.92,2.38,1.26,1.71,1.39,1.25,1.22,0.89,1.13,1.7,1.42,1.83,2.16,2.94,3.54,3.53
2017-01-05,3.88,3.99,3.68,3.71,3.61,4.09,3.42,3.58,6.44,1.94,3.43,1.0,2.96,3.04,3.06,2.6,1.2,0.43,1.67,1.46,1.12,0.99,1.0,0.95
2017-01-06,0.48,0.44,0.48,0.52,0.39,0.12,0.23,0.48,0.12,0.47,0.29,0.12,0.07,0.06,0.04,0.18,0.18,0.93,0.86,0.71,0.5,0.66,0.75,1.16
2017-01-07,0.87,1.2,1.44,1.34,0.99,0.89,0.9,0.82,0.95,0.71,0.24,0.19,0.2,0.0,0.1,0.44,0.53,0.95,1.11,3.96,5.46,6.85,7.42,7.53
2017-01-08,8.8,8.45,8.92,8.49,7.24,8.02,6.46,8.1,8.29,5.11,7.01,4.27,3.01,2.0,1.96,2.16,2.06,4.29,7.72,6.81,7.86,8.76,7.07,3.58
2017-01-09,3.61,3.4,3.4,3.38,3.55,4.18,5.92,3.26,2.41,4.6,4.31,4.89,4.85,4.92,5.33,5.23,5.13,6.1,5.2,5.3,5.61,5.49,5.41,5.72
2017-01-10,5.97,6.21,6.19,6.19,6.32,5.49,5.53,3.19,3.33,2.32,2.33,2.42,3.5,6.19,5.65,4.22,3.03,1.03,3.31,3.88,5.98,7.53,7.67,7.49
2017-01-11,6.3,5.57,5.18,4.74,4.75,4.26,5.57,4.6,4.43,3.42,2.85,3.09,2.71,2.58,2.21,2.32,1.56,2.25,3.25,3.67,3.23,1.27,2.6,2.58
2017-01-12,4.83,5.57,5.33,0.12,0.24,0.27,0.21,0.04,0.94,0.68,0.83,0.73,0.66,0.54,0.53,0.96,1.54,1.45,1.01,2.62,3.31,4.17,4.06,3.05
2017-01-13,0.37,0.34,0.46,0.53,0.51,0.43,0.63,0.52,0.63,0.44,0.24,0.22,0.31,0.33,0.52,0.55,0.28,0.02,0.15,0.17,0.0,0.08,0.21,0.14
