date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,26439.0,25962.0,25777.0,25916.0,26136.0,26657.0,27101.0,27735.0,28066.0,28694.0,28104.0,27711.0,27483.0,27115.0,26618.0,26555.0,27225.0,29004.0,29889.0,29437.0,29242.0,28275.0,27047.0,25703.0
2017-01-02,24518.0,23988.0,23575.0,23534.0,23547.0,23802.0,24328.0,25523.0,26051.0,26647.0,26681.0,26690.0,26594.0,26261.0,25879.0,25801.0,26331.0,27814.0,28564.0,27951.0,27843.0,27080.0,26047.0,25202.0
2017-01-03,25398.0,25093.0,25007.0,25259.0,25736.0,26865.0,28991.0,30800.0,30931.0,31062.0,31043.0,31017.0,31185.0,31258.0,31174.0,31216.0,31888.0,33707.0,34369.0,33623.0,33789.0,32886.0,31458.0,30333.0
2017-01-04,28620.0,28420.0,28293.0,28513.0,29207.0,30773.0,33269.0,35236.0,35371.0,35357.0,35389.0,35141.0,34758.0,34386.0,33912.0,33628.0,34022.0,35949.0,36748.0,36423.0,35740.0,34651.0,33005.0,31600.0
2017-01-05,30192.0,29914.0,29732.0,29920.0,30469.0,31954.0,34690.0,36883.0,36976.0,36980.0,36947.0,36843.0,36947.0,36818.0,36514.0,36364.0,36922.0,38697.0,39599.0,38928.0,38382.0,37166.0,35193.0,33689.0
2017-01-06,32649.0,32324.0,32214.0,32246.0,32210.0,33671.0,36215.0,38140.0,38601.0,38896.0,38608.0,38217.0,37510.0,37711.0,37209.0,37015.0,37710.0,39027.0,39602.0,38885.0,38351.0,37229.0,35800.0,34650.0
2017-01-07,32145.0,31590.0,31392.0,31377.0,31658.0,32508.0,33654.0,34700.0,35064.0,35436.0,35321.0,34743.0,33474.0,32511.0,31540.0,31195.0,31704.0,33662.0,34752.0,34533.0,34278.0,33601.0,32547.0,31464.0
2017-01-08,31835.0,31408.0,31197.0,31121.0,31479.0,32043.0,32983.0,33846.0,33735.0,33781.0,32705.0,32257.0,31522.0,30795.0,30004.0,29918.0,30651.0,32343.0,33445.0,33136.0,33057.0,32254.0,31334.0,30344.0
2017-01-09,30114.0,30319.0,29951.0,30236.0,30815.0,32067.0,34601.0,36214.0,35758.0,34590.0,33650.0,33188.0,32276.0,31590.0,30820.0,30429.0,30913.0,31965.0,32626.0,31841.0,31324.0,30065.0,28669.0,27476.0
2017-01-10,26728.0,26508.0,26256.0,26391.0,26623.0,27603.0,29759.0,31401.0,30854.0,30176.0,29619.0,29393.0,29283.0,29172.0,29009.0,28881.0,29505.0,30755.0,31578.0,31114.0,30839.0,29912.0,28579.0,27762.0
2017-01-11,27072.0,27012.0,27008.0,27161.0,27389.0,28292.0,30195.0,31323.0,30865.0,30535.0,30192.0,29845.0,29636.0,29510.0,29392.0,29264.0,29772.0,31014.0,31608.0,31469.0,30672.0,29767.0,28703.0,27801.0
